# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 901.176
202000 1133.25
203000 1122.91
204000 1080.32
205000 1045.99
206000 1086.39
207000 1072.37
208000 1078.07
209000 1031.48
210000 1049
211000 1006.06
212000 1039.42
213000 988.02
214000 1005.7
215000 1043.08
216000 1100.72
217000 1053.57
218000 1005.67
219000 1038.31
220000 994.966
221000 1009.28
222000 995.611
223000 986.155
224000 1039.24
225000 1009.14
226000 965.603
227000 1050.54
228000 979.376
229000 955.05
230000 955.531
231000 1011.23
232000 991.912
233000 980.44
234000 954.392
235000 933.491
236000 949.354
237000 976.115
238000 925.535
239000 953.298
240000 963.271
241000 931.947
242000 946.878
243000 963.27
244000 931.889
245000 927.851
246000 942.602
247000 960.931
248000 933.927
249000 885.303
250000 930.72
251000 910.407
252000 948.395
253000 937.253
254000 952.678
255000 990.498
256000 947.527
257000 941.171
258000 934.036
259000 914.583
260000 921.796
261000 844.95
262000 886.073
263000 889.311
264000 889.837
265000 851.502
266000 854.516
267000 873.146
268000 882.993
269000 849.623
270000 886.09
271000 842.461
272000 872.375
273000 884.828
274000 857.001
275000 867.28
276000 862.724
277000 814.635
278000 857.321
279000 878.408
280000 903.778
281000 888.332
282000 909.143
283000 878.946
284000 872.85
285000 908.639
286000 907.58
287000 918.981
288000 900.412
289000 878.561
290000 914.32
291000 848.158
292000 863.428
293000 843.248
294000 915.315
295000 873.585
296000 893.826
297000 849.146
298000 877.044
299000 822.226
300000 874.149
301000 865.106
302000 865.769
303000 866.494
304000 894.265
305000 888.681
306000 880.643
307000 884.328
308000 859.526
309000 828.933
310000 892.65
311000 883.803
312000 895.305
313000 854.811
314000 871.908
315000 910.926
316000 909.751
317000 881.409
318000 862.474
319000 895.374
320000 909.512
321000 859.477
322000 885.505
323000 877.975
324000 865.55
325000 822.712
326000 841.391
327000 838.254
328000 885.688
329000 821.213
330000 854.006
331000 798.73
332000 871.795
333000 898.87
334000 895.883
335000 876.717
336000 878.267
337000 855.139
338000 877.901
339000 839.308
340000 857.382
341000 851.168
342000 845.496
343000 829.345
344000 860.255
345000 858.602
346000 867.668
347000 799.454
348000 854.2
349000 847.481
350000 838.843
351000 836.867
352000 863.059
353000 855.141
354000 872.264
355000 861.228
356000 867.135
357000 863.805
358000 878.844
359000 871.863
360000 867.52
361000 890.625
362000 899.484
363000 891.408
364000 893.222
365000 828.841
366000 868.257
367000 848.915
368000 883.528
369000 871.795
370000 846.134
371000 874.251
372000 847.464
373000 854.685
374000 853.401
375000 841.437
376000 848.112
377000 818.096
378000 848.574
379000 853.098
380000 871.133
381000 857.797
382000 881.914
383000 869.408
384000 882.577
385000 869.195
386000 894.305
387000 900.873
388000 874.937
389000 856.612
390000 865.438
391000 863.229
392000 922.83
393000 890.319
394000 848.418
395000 837.854
396000 861.352
397000 828.478
398000 913.908
399000 855.411
400000 860.035
401000 797.932
402000 848.611
403000 854.764
404000 829.929
405000 889.379
406000 883.605
407000 828.084
408000 855.136
409000 854.907
410000 931.716
411000 900.946
412000 874.881
413000 859.508
414000 885.033
415000 818.027
416000 876.263
417000 836.355
418000 867.622
419000 867.883
420000 913.323
421000 852.62
422000 912.393
423000 912.856
424000 878.624
425000 879.353
426000 897.61
427000 855.16
428000 855.573
429000 796.001
430000 860.273
431000 819.779
432000 831.491
433000 890.658
434000 906.188
435000 914.218
436000 984.201
437000 862.928
438000 874.832
439000 899.467
440000 878.541
441000 890.578
442000 893.709
443000 852.19
444000 866.819
445000 821.624
446000 830.475
447000 821.727
448000 820.265
449000 822.332
450000 821.314
451000 835.075
452000 859.905
453000 850.967
454000 877.391
455000 872.98
456000 907.7
457000 832.137
458000 868.349
459000 871.039
460000 887.888
461000 844.662
462000 821.016
463000 819.576
464000 872.699
465000 849.229
466000 852.241
467000 830.954
468000 864.701
469000 872.467
470000 859.671
471000 810.04
472000 833.226
473000 840.666
474000 879.039
475000 878.523
476000 905.915
477000 852.439
478000 884.804
479000 829.865
480000 817.864
481000 853.025
482000 904.965
483000 816.946
484000 865.057
485000 834.095
486000 843.992
487000 876.598
488000 897.375
489000 871.72
490000 878.861
491000 905.354
492000 862.874
493000 866.929
494000 845.742
495000 838.928
496000 869.904
497000 837.922
498000 881.65
499000 862.267
500000 898.407
501000 858.097
502000 867.146
503000 873.249
504000 893.442
505000 858.169
506000 861.726
507000 843.865
508000 855.172
509000 805.77
510000 855.914
511000 853.095
512000 854.495
513000 845.536
514000 850.624
515000 878.061
516000 873.927
517000 910.486
518000 897.28
519000 818.525
520000 820.079
521000 840.778
522000 830.941
523000 858.782
524000 863.034
525000 840.025
526000 867.329
527000 851.564
528000 846.148
529000 876.283
530000 841.387
531000 841.438
532000 853.221
533000 810.166
534000 834.202
535000 873.809
536000 880.931
537000 859.729
538000 857.723
539000 835.375
540000 878.924
541000 847.338
542000 848.699
543000 831.257
544000 858.109
545000 855.507
546000 877.955
547000 846.873
548000 829.616
549000 809.111
550000 902.6
551000 862.615
552000 880.884
553000 832.105
554000 878.293
555000 878.942
556000 881.155
557000 824.998
558000 858.822
559000 837.957
560000 888.914
561000 844.252
562000 848.675
563000 871.896
564000 867.877
565000 864.334
566000 849.248
567000 855.426
568000 863.936
569000 835.529
570000 842.34
571000 858.667
572000 822.453
573000 825.465
574000 848.274
575000 787.285
576000 812.339
577000 832.152
578000 846.644
579000 863.823
580000 867.48
581000 826.413
582000 877.795
583000 828.469
584000 893.991
585000 800.131
586000 823.088
587000 836.988
588000 869.949
589000 837.698
590000 849.808
591000 881.297
592000 882.921
593000 864.209
594000 829.394
595000 900.738
596000 844.914
597000 877.139
598000 845.449
599000 881.713
600000 887.536
601000 862.288
602000 864.938
603000 845.366
604000 858.411
605000 877.741
606000 833.47
607000 802.689
