# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 1936.63
202000 2377.8
203000 2393.34
204000 2398.54
205000 2239.79
206000 2275.81
207000 2352.93
208000 2369.33
209000 2374.22
210000 2380.98
211000 2378.53
212000 2329.98
213000 2297.57
214000 2317.16
215000 2338.43
216000 2258.66
217000 2228.47
218000 2289.99
219000 2332.29
220000 2256.26
221000 2317.86
222000 2224.62
223000 2272.9
224000 2339.98
225000 2280.73
226000 2308.59
227000 2283.94
228000 2265.1
229000 2282.92
230000 2214.94
231000 2214.42
232000 2160.13
233000 2272.86
234000 2192.35
235000 2152.75
236000 2245.3
237000 2291.06
238000 2320.54
239000 2245.31
240000 2302.55
241000 2220.4
242000 2246.69
243000 2224.18
244000 2178.76
245000 2182.63
246000 2226.41
247000 2120.87
248000 2170.03
249000 2123.54
250000 2267.28
251000 2113.81
252000 2216.81
253000 2206.58
254000 2119.97
255000 2087.67
256000 2168.61
257000 2220.73
258000 2220.79
259000 2142.61
260000 2165.04
261000 2086.62
262000 2149.88
263000 2094.15
264000 2149.63
265000 2127.59
266000 2166.14
267000 2116.93
268000 2182.04
269000 2184.26
270000 2118.23
271000 2076.81
272000 2042.79
273000 2035.95
274000 2154.3
275000 2130.25
276000 2144.19
277000 2092.26
278000 2100.11
279000 2100.49
280000 2052.07
281000 2033.39
282000 2102.26
283000 2079.89
284000 1999.68
285000 2067.94
286000 2079.93
287000 2017.11
288000 2060.55
289000 2041.21
290000 2043.06
291000 2039.04
292000 2018.09
293000 2064.35
294000 1998.32
295000 2083.46
296000 2034.64
297000 2009.77
298000 2062.1
299000 1987.48
300000 2039.32
301000 2013.4
302000 2028.45
303000 1998.05
304000 2078.1
305000 2036.26
306000 2031.73
307000 1960.72
308000 2008.3
309000 1949.71
310000 1982.1
311000 1974.35
312000 1970.04
313000 2026.9
314000 2011.28
315000 1966.73
316000 2005.2
317000 1944.98
318000 1967.37
319000 1974.05
320000 1951.75
321000 1926.94
322000 1988.74
323000 1962.55
324000 1935.75
325000 1983.75
326000 2003.75
327000 1962.19
328000 1954.08
329000 1955.04
330000 1982.66
331000 1947.04
332000 2053.31
333000 1981.85
334000 1996.43
335000 2023
336000 1955.51
337000 1890.37
338000 1938.71
339000 1912.57
340000 1964.53
341000 1866.93
342000 1916.45
343000 1926.43
344000 1916.7
345000 1873.23
346000 2017.02
347000 1880.4
348000 1955.65
349000 1873.43
350000 1845.38
351000 1888.45
352000 1935.28
353000 1887.26
354000 1833.78
355000 1954.13
356000 1902.83
357000 1886.4
358000 1865.46
359000 1942.51
360000 1939.7
361000 1817.97
362000 1892.6
363000 1839.32
364000 1843.59
365000 1896.95
366000 1932.03
367000 1902.31
368000 1950.36
369000 1917.73
370000 1878.86
371000 1830.01
372000 1874.48
373000 1947.05
374000 1899.16
375000 1936.96
376000 1838.38
377000 1955.62
378000 1881.56
379000 1837.47
380000 1864.88
381000 1857.02
382000 1855.33
383000 1938.53
384000 1848.14
385000 1939.45
386000 1865.59
387000 1862.14
388000 1896.3
389000 1920.97
390000 1888.94
391000 1943.4
392000 1877.05
393000 1807.35
394000 1929.49
395000 1921.89
396000 1944.69
397000 1965.98
398000 1942.9
399000 1957.87
400000 1909.52
401000 1951.58
402000 1879.73
403000 1911.41
404000 1880.27
405000 1945.4
406000 1835.92
407000 1917.45
408000 1911.22
409000 1882.42
410000 1819.79
411000 1858.43
412000 1849.27
413000 1878.2
414000 1865.57
415000 1890.55
416000 1802.97
417000 1799.59
418000 1928.69
419000 1818.33
420000 1836.41
421000 1810.79
422000 1849.27
423000 1810.56
424000 1845.39
425000 1823.69
426000 1751.63
427000 1884.65
428000 1838.69
429000 1835.78
430000 1819.68
431000 1865.17
432000 1930.95
433000 1803.58
434000 1814.33
435000 1838.15
436000 1803.32
437000 1808.94
438000 1770.81
439000 1771.48
440000 1821.67
441000 1866.21
442000 1809.52
443000 1831.67
444000 1781.87
445000 1813.35
446000 1838.8
447000 1795.16
448000 1848.45
449000 1814.73
450000 1894.54
451000 1804.99
452000 1883.12
453000 1857.62
454000 1799.45
455000 1874.55
456000 1777.98
457000 1807.68
458000 1795.56
459000 1744.65
460000 1851.48
461000 1814.04
462000 1819.25
463000 1712.23
464000 1794.72
465000 1809.51
466000 1855.89
467000 1802.7
468000 1776.87
469000 1816.94
470000 1811.92
471000 1843.72
472000 1782.3
473000 1810.7
474000 1775.29
475000 1770.81
476000 1854.36
477000 1753.37
478000 1805.47
479000 1766.54
480000 1869.02
481000 1810.43
482000 1817.94
483000 1789.2
484000 1698.79
485000 1774.73
486000 1771.9
487000 1802.83
488000 1839.73
489000 1775.43
490000 1859.44
491000 1796.81
492000 1861.27
493000 1785.85
494000 1872.07
495000 1808.33
496000 1791.91
497000 1850.62
498000 1825.17
499000 1768.5
500000 1758.66
501000 1855.43
502000 1809.61
503000 1842.05
504000 1754.1
505000 1766.77
506000 1791.84
507000 1815.88
508000 1758.01
509000 1800.54
510000 1774.04
511000 1833.87
512000 1740.49
513000 1780.54
514000 1824.54
515000 1904.09
516000 1866.44
517000 1803.89
518000 1833.29
519000 1767.21
520000 1828.66
521000 1783.25
522000 1807.18
523000 1855.52
524000 1851.15
525000 1775.22
526000 1812.61
527000 1832.13
528000 1727.23
529000 1834.68
530000 1799.27
531000 1769.29
532000 1880.78
533000 1837.21
534000 1861.71
535000 1864.52
536000 1797.94
537000 1825.37
538000 1802
539000 1820.24
540000 1912.3
541000 1782.16
542000 1758.77
543000 1871.06
544000 1861.08
545000 1867.92
546000 1895
547000 1889.03
548000 1844.25
549000 1800.22
550000 1839.85
551000 1823.48
552000 1841.07
553000 1875.91
554000 1771.53
555000 1844.42
556000 1885.68
557000 1841.25
558000 1852.68
559000 1802.92
560000 1880.79
561000 1848.89
562000 1930.05
563000 1795.2
564000 1829.86
565000 1813.26
566000 1863.09
567000 1795.67
568000 1831.86
569000 1875.9
570000 1828.94
571000 1767.56
572000 1809.35
573000 1839.99
574000 1810.74
575000 1824.54
576000 1823.46
577000 1859.22
578000 1843.78
579000 1726.26
580000 1840.15
581000 1891.26
582000 1846.82
583000 1847.74
584000 1788.28
585000 1856.09
586000 1825.93
587000 1788.61
588000 1751.19
589000 1872.38
590000 1792.56
591000 1814.88
592000 1794.1
593000 1828.74
594000 1912.11
595000 1860.95
596000 1854.82
597000 1800.58
598000 1801.56
599000 1897.36
600000 1875.9
601000 1779.9
602000 1780.46
603000 1801.35
604000 1753.5
605000 1812.94
606000 1870.65
607000 1776.52
608000 1751.69
609000 1888.66
610000 1732.82
611000 1797.11
612000 1759.1
613000 1679.24
614000 1822.63
615000 1818.6
616000 1765.73
617000 1870.99
618000 1866.4
619000 1832.12
620000 1834.18
621000 1732.28
622000 1885.22
623000 1908.72
624000 1785.37
625000 1805.85
626000 1764.09
627000 1763.8
628000 1790.94
629000 1784.63
630000 1789.11
631000 1769.96
632000 1721.55
633000 1786.77
634000 1808.37
635000 1758.04
636000 1749.41
637000 1747.91
638000 1788.9
639000 1779.9
640000 1794.58
641000 1738.54
642000 1764.99
643000 1786.57
644000 1775.8
645000 1772.11
646000 1751.38
647000 1747.62
648000 1784.95
649000 1704.39
650000 1829.2
651000 1795.25
652000 1765.33
653000 1810.7
654000 1780.11
655000 1791.66
656000 1794.06
657000 1746.44
658000 1757.84
659000 1762.45
660000 1813.51
661000 1767.39
662000 1779.56
663000 1743.09
664000 1794.91
665000 1742.42
666000 1781
667000 1767.88
668000 1806.57
669000 1806.7
670000 1731.43
671000 1775.76
672000 1808.89
673000 1770.73
674000 1788.5
675000 1757.76
676000 1743.37
677000 1712.75
678000 1739.64
679000 1800.18
680000 1765.96
681000 1741.09
682000 1824.91
683000 1760.52
684000 1738.34
685000 1759.01
686000 1788.12
687000 1710.18
688000 1661.92
689000 1753.83
690000 1719.88
691000 1707.37
692000 1781.37
693000 1824.15
694000 1793.31
695000 1889.91
696000 1814.92
697000 1740.19
698000 1741.32
699000 1817.62
700000 1781.12
