# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 1806.87
202000 2223.64
203000 2238.63
204000 2173.1
205000 2219.7
206000 2200.2
207000 2222.6
208000 2244.65
209000 2217.78
210000 2229.54
211000 2209.97
212000 2232.52
213000 2144.61
214000 2181.43
215000 2234.99
216000 2141.71
217000 2115.21
218000 2151.64
219000 2142.28
220000 2141.91
221000 2127.96
222000 2210.86
223000 2077.72
224000 2072.17
225000 2066.52
226000 2122.8
227000 2118.6
228000 2077.69
229000 2016.24
230000 2037.41
231000 2049.87
232000 2081.22
233000 2083.51
234000 2026.24
235000 2009.3
236000 2103.77
237000 1951.39
238000 2040.27
239000 1994.8
240000 2035.51
241000 2025.07
242000 1985.51
243000 1974.52
244000 2028.8
245000 2028.18
246000 2012.69
247000 2006.57
248000 1991.59
249000 2033.64
250000 1993.56
251000 1944.1
252000 1936.74
253000 2013.43
254000 2021.8
255000 1943.76
256000 1958.47
257000 1938.3
258000 2020.6
259000 1925.29
260000 1868.9
261000 1886.9
262000 1873.64
263000 1893.1
264000 1936.54
265000 1874.69
266000 1913.18
267000 1889.9
268000 1940.33
269000 1816.38
270000 1923.21
271000 1913.73
272000 1855.46
273000 1792.49
274000 1859.72
275000 1852.16
276000 1919.61
277000 1880.16
278000 1930.25
279000 1860.67
280000 1873.4
281000 1867.38
282000 1836.36
283000 1810.51
284000 1896.06
285000 1815.27
286000 1833.7
287000 1834.82
288000 1822.86
289000 1812.01
290000 1879.98
291000 1705.83
292000 1779.24
293000 1807.24
294000 1844.45
295000 1845.66
296000 1754.78
297000 1780.71
298000 1789.31
299000 1769.31
300000 1781.23
301000 1819.9
302000 1831.36
303000 1746.24
304000 1774.38
305000 1760.99
306000 1736.26
307000 1703.91
308000 1743.51
309000 1747.74
310000 1771.94
311000 1766.6
312000 1783.96
313000 1783.98
314000 1717.2
315000 1750.06
316000 1743.71
317000 1747.08
318000 1767.23
319000 1725.25
320000 1730.09
321000 1719.94
322000 1728.89
323000 1715.26
324000 1691.48
325000 1798.64
326000 1771.98
327000 1780.7
328000 1750.75
329000 1645.97
330000 1638.77
331000 1657.71
332000 1703.26
333000 1722.74
334000 1746.7
335000 1684.09
336000 1771.12
337000 1717.01
338000 1684.27
339000 1703.98
340000 1689.01
341000 1596.89
342000 1701.87
343000 1725.07
344000 1771.84
345000 1708.04
346000 1661.08
347000 1668.41
348000 1650.52
349000 1722.27
350000 1706.23
351000 1649.12
352000 1597.45
353000 1652.58
354000 1676.18
355000 1673.48
356000 1752.75
357000 1707.94
358000 1709.01
359000 1706.9
360000 1748.62
361000 1713.26
362000 1732.42
363000 1723.55
364000 1643.98
365000 1634.6
366000 1681.66
367000 1685.71
368000 1703.23
369000 1725.98
370000 1654.26
371000 1739.87
372000 1641.69
373000 1636.02
374000 1719.56
375000 1676.04
376000 1617.92
377000 1657.54
378000 1669.94
379000 1717.59
380000 1661.29
381000 1638.82
382000 1637.75
383000 1761.58
384000 1704.74
385000 1650.19
386000 1616.07
387000 1613.54
388000 1680.53
389000 1652.85
390000 1709.95
391000 1640.02
392000 1662.29
393000 1653.91
394000 1659.33
395000 1668.16
396000 1655.2
397000 1626.15
398000 1704.05
399000 1683.57
400000 1641.25
401000 1679.17
402000 1728.25
403000 1671.42
404000 1708.71
405000 1743.89
406000 1670.53
407000 1640.86
408000 1644.97
409000 1582.36
410000 1631.36
411000 1646.97
412000 1616.16
413000 1634.31
414000 1681.53
415000 1662
416000 1669.7
417000 1645.31
418000 1669.32
419000 1648.35
420000 1663.24
421000 1575.26
422000 1624.41
423000 1592.76
424000 1637.69
425000 1599.55
426000 1637.02
427000 1657.88
428000 1652.04
429000 1637.67
430000 1629.18
431000 1590.77
432000 1599.68
433000 1555.96
434000 1592.26
435000 1590.12
436000 1588.2
437000 1566.14
438000 1591.2
439000 1614.03
440000 1585.06
441000 1652.69
442000 1578.24
443000 1620.41
444000 1597.68
445000 1605.97
446000 1613.48
447000 1602.53
448000 1636.38
449000 1611.41
450000 1643.94
451000 1653.95
452000 1644.79
453000 1637.83
454000 1541.2
455000 1590.22
456000 1604.61
457000 1548
458000 1615.99
459000 1530.66
460000 1626.59
461000 1624.01
462000 1634.81
463000 1573.6
464000 1596.84
465000 1652.71
466000 1652
467000 1688.48
468000 1598.72
469000 1621.08
470000 1566.28
471000 1579.29
472000 1657.28
473000 1566.55
474000 1659.09
475000 1656
476000 1589.97
477000 1661.37
478000 1706.84
479000 1609.72
480000 1560.45
481000 1618.21
482000 1669.52
483000 1631.38
484000 1568.65
485000 1578.51
486000 1541.27
487000 1603.12
488000 1610
489000 1621.11
490000 1660.17
491000 1573.53
492000 1605.24
493000 1588.56
494000 1612.68
495000 1581.08
496000 1601.17
497000 1587.54
498000 1667.1
499000 1609.57
500000 1621.67
501000 1532.87
502000 1542.88
503000 1619.51
504000 1560.08
505000 1606.65
506000 1571.33
507000 1541.89
508000 1531.25
509000 1623.04
510000 1646.79
511000 1557.35
512000 1537.53
513000 1575.38
514000 1604.11
515000 1618.02
516000 1561.33
517000 1609.85
518000 1586.03
519000 1610.92
520000 1655.8
521000 1537.04
522000 1623.75
523000 1631.46
524000 1636.95
525000 1606.22
526000 1622.12
527000 1586.7
528000 1598.1
529000 1558.24
530000 1576.44
531000 1544.58
532000 1586.22
533000 1559.9
534000 1685.04
535000 1575.25
536000 1617.15
537000 1582.59
538000 1548.92
539000 1608.82
540000 1574.13
541000 1570.1
542000 1593.35
543000 1605.35
544000 1559.93
545000 1606.49
546000 1547.21
547000 1520.78
548000 1546.12
549000 1556.27
550000 1600.64
551000 1518.88
552000 1608.35
553000 1576.88
554000 1539.42
555000 1590.24
556000 1583.4
557000 1584.48
558000 1601.3
559000 1549.43
560000 1581.94
561000 1573.16
562000 1558.51
563000 1594.41
564000 1567.82
565000 1553
566000 1640.31
567000 1603.09
568000 1628.82
569000 1563.48
570000 1560.99
571000 1527.89
572000 1629.15
