# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 5.82071
202000 6.03181
203000 5.60201
204000 5.8553
205000 5.31341
206000 5.83945
207000 5.62649
208000 5.91919
209000 5.45568
210000 5.8282
211000 5.57866
212000 5.2347
213000 5.96611
214000 6.01243
215000 5.09836
216000 5.60947
217000 6.00258
218000 5.32252
219000 5.47783
220000 5.27038
221000 6.13324
222000 5.72676
223000 5.44168
224000 5.79285
225000 5.24742
226000 5.57281
227000 5.7557
228000 5.79147
229000 5.66583
230000 5.95331
231000 5.3959
232000 5.33915
233000 5.68359
234000 5.95383
235000 4.95626
236000 5.53843
237000 5.88822
238000 5.54568
239000 5.56298
240000 5.93964
241000 5.40285
242000 6.11638
243000 5.46486
244000 5.43228
245000 5.4121
246000 6.1057
247000 5.56904
248000 5.88184
249000 6.44763
250000 6.05736
251000 5.76763
252000 6.05805
253000 5.62333
254000 5.09055
255000 5.33733
256000 5.9658
257000 5.60199
258000 5.92739
259000 5.77134
260000 6.18685
261000 5.35934
262000 6.07491
263000 5.45448
264000 5.92381
265000 5.80767
266000 5.22089
267000 5.64398
268000 5.90146
269000 5.41018
270000 5.93162
271000 5.41575
272000 5.71681
273000 5.60148
274000 5.52737
275000 5.39284
276000 5.59767
277000 5.73557
278000 5.71387
279000 5.20614
280000 5.55865
281000 5.56447
282000 5.88185
283000 5.3649
284000 5.60349
285000 5.46717
286000 5.29751
287000 5.57833
288000 6.00184
289000 5.63913
290000 6.0935
291000 6.01969
292000 5.91478
293000 5.63947
294000 5.57864
295000 5.47615
296000 5.83169
297000 5.10292
298000 5.56752
299000 5.29534
300000 5.22765
301000 5.86354
302000 6.00709
303000 5.59029
304000 5.96602
305000 5.63199
306000 5.65023
307000 5.3361
308000 5.90072
309000 5.63062
310000 5.96963
311000 5.6301
312000 5.90551
313000 6.03426
314000 5.9387
315000 5.84938
316000 5.72128
317000 5.30782
318000 5.98502
319000 5.80859
320000 5.65787
321000 5.94064
322000 5.18682
323000 5.53429
324000 5.83828
325000 6.03026
326000 6.05971
327000 5.40008
328000 5.92027
329000 5.54229
330000 5.823
331000 6.03541
332000 5.55653
333000 5.23496
334000 5.96177
335000 5.60384
336000 5.84809
337000 6.54916
338000 5.88617
339000 5.77498
340000 5.42743
341000 5.45029
342000 5.73505
343000 5.64472
344000 5.66801
345000 6.11382
346000 5.36465
347000 5.8513
348000 5.69744
349000 4.99192
350000 6.26917
351000 5.92268
352000 5.79446
353000 5.92976
354000 5.89786
355000 5.68619
356000 5.96166
357000 5.6116
358000 5.23
359000 6.07122
360000 5.80717
361000 5.69051
362000 5.97052
363000 5.84359
364000 6.07171
365000 5.5205
366000 6.90321
367000 5.48112
368000 5.79162
369000 5.85653
370000 5.84335
371000 5.64969
372000 6.20216
373000 5.43182
374000 5.80816
375000 5.68465
376000 5.77691
377000 5.59093
378000 6.21897
379000 5.44037
380000 5.7245
381000 5.22857
382000 5.77169
383000 6.064
384000 6.25909
385000 4.94503
386000 5.49383
387000 5.47359
388000 5.42332
389000 5.32073
390000 5.70872
391000 6.10351
392000 6.22156
393000 5.55401
394000 5.79531
395000 5.46075
396000 5.29001
397000 5.61129
398000 5.66466
399000 5.68814
400000 5.8813
401000 5.48356
402000 5.6387
403000 5.7646
404000 5.92435
405000 5.62331
406000 5.65533
407000 5.53819
408000 5.95584
409000 5.5424
410000 5.64872
411000 5.62428
412000 5.87825
413000 6.06165
414000 5.858
415000 5.24766
416000 5.83741
417000 5.45384
418000 6.14119
419000 4.975
420000 5.63482
421000 5.48601
422000 5.26916
423000 5.55227
424000 5.28064
425000 5.65636
426000 5.90727
427000 5.45986
428000 6.30084
429000 5.69662
430000 5.84139
431000 5.62998
432000 5.69398
433000 5.95843
434000 5.7195
435000 5.82397
436000 5.93972
437000 5.13877
438000 5.50884
439000 5.71646
440000 5.87013
441000 5.47368
442000 5.73348
443000 5.62628
444000 6.27535
445000 5.53754
446000 5.93307
447000 5.14323
448000 5.25739
449000 5.38915
450000 5.8201
451000 5.83275
452000 5.96449
453000 5.53306
454000 5.96043
455000 5.16772
456000 6.05801
457000 6.04498
458000 5.83995
459000 5.38109
460000 5.69645
461000 5.96117
462000 5.36045
463000 6.12008
464000 5.67173
465000 5.4338
466000 6.40634
467000 5.21942
468000 5.85391
469000 6.13162
470000 5.54907
471000 5.42538
472000 5.16149
473000 5.6954
474000 5.97703
475000 6.48188
476000 6.2166
477000 5.78278
478000 5.51885
479000 5.47493
480000 5.76099
481000 5.67118
482000 5.51959
483000 5.80983
484000 5.42632
485000 5.48978
486000 5.79865
487000 5.66025
488000 6.0507
489000 5.54685
490000 5.75082
491000 5.50059
492000 5.70936
493000 5.45848
494000 5.77107
495000 5.66293
496000 5.8074
497000 5.40732
498000 6.12935
499000 5.17657
500000 6.43221
501000 5.5455
502000 5.58717
503000 5.705
504000 5.74854
505000 5.39092
506000 5.7668
507000 5.39806
508000 5.3634
509000 5.74962
510000 5.79972
511000 5.05478
512000 6.08041
513000 5.74552
514000 5.98901
515000 5.71512
516000 5.90261
517000 5.62749
518000 5.98553
519000 5.45313
520000 5.89362
521000 5.69886
522000 5.45414
523000 5.55126
524000 5.88676
525000 5.9557
526000 6.34324
527000 5.963
528000 5.86032
529000 6.05479
530000 5.461
531000 6.66089
532000 4.8572
533000 5.72738
534000 5.75612
535000 5.85901
536000 6.02628
537000 5.48813
538000 5.95455
539000 6.02599
540000 5.92861
541000 5.25224
542000 5.77316
543000 5.63384
544000 5.90759
545000 5.28447
546000 6.0436
547000 5.64539
548000 5.15703
549000 6.02362
550000 6.24465
551000 5.65974
552000 5.72989
553000 5.55658
554000 6.1046
555000 5.53732
556000 5.66478
557000 5.2179
558000 5.87499
559000 5.71953
560000 5.51255
561000 5.35722
562000 5.68245
563000 6.07183
564000 6.02133
565000 5.4778
566000 5.3454
567000 5.79347
568000 6.04179
569000 5.32333
570000 5.61152
571000 5.92577
572000 5.20525
573000 5.8267
574000 5.92465
575000 5.70827
576000 5.48062
577000 5.34417
578000 5.74946
579000 5.5338
580000 6.03807
581000 5.42861
582000 5.68993
583000 5.2854
584000 6.16077
585000 5.77837
586000 5.99865
587000 5.43559
588000 5.776
589000 5.17251
590000 6.38584
591000 5.47141
592000 5.88319
593000 5.82846
594000 5.1851
595000 5.5991
596000 6.1932
597000 5.66619
598000 5.52278
599000 5.53555
600000 5.8908
601000 5.50419
602000 5.78109
603000 5.38081
604000 6.23502
605000 5.36361
606000 5.69445
607000 5.72045
608000 5.96809
609000 5.38541
610000 6.07786
611000 5.76219
612000 5.5618
613000 5.4475
614000 5.6092
615000 5.68212
616000 5.8504
617000 5.94871
618000 5.78214
619000 4.01946
620000 4.24311
621000 5.07834
622000 6.33431
623000 5.8473
624000 5.31192
625000 5.52503
626000 6.31574
627000 5.852
628000 6.13961
629000 5.52561
630000 5.90467
631000 5.98119
632000 6.00895
633000 5.28782
634000 5.6919
635000 5.58996
636000 5.86681
637000 5.24489
638000 5.39294
639000 5.31349
640000 5.76115
641000 5.77051
642000 5.86989
643000 5.70095
644000 5.61759
645000 5.5749
646000 5.80978
647000 5.20222
648000 6.07413
649000 5.61021
650000 5.2533
651000 5.20166
652000 5.57472
653000 5.97415
654000 6.03693
655000 5.28469
656000 5.6113
657000 5.64545
658000 6.29628
659000 5.46457
660000 5.81862
661000 5.56026
662000 6.37579
663000 5.78493
664000 5.33922
665000 5.68486
666000 5.68817
667000 5.54107
668000 5.68737
669000 5.25436
670000 5.36926
671000 5.7168
672000 5.8848
673000 5.70528
674000 5.91608
675000 5.95722
676000 5.75547
