# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 1848.01
202000 2192.04
203000 2334.67
204000 2226.76
205000 2232.48
206000 2288.52
207000 2238.84
208000 2219.7
209000 2182.96
210000 2227.88
211000 2174.98
212000 2271.94
213000 2219.15
214000 2147.13
215000 2248.36
216000 2213.22
217000 2114.85
218000 2125.73
219000 2071.17
220000 2190.83
221000 2093.7
222000 2101.43
223000 2177.34
224000 2080.31
225000 2076.36
226000 2182.15
227000 2138.63
228000 2085.64
229000 2082.47
230000 2155.42
231000 2049.02
232000 2132.2
233000 2080.94
234000 2141.05
235000 2145.18
236000 2120.47
237000 2099.66
238000 2074.1
239000 2096.39
240000 2106.5
241000 2021.65
242000 2092.99
243000 2121.5
244000 2061.37
245000 2130.03
246000 2032.59
247000 2081.79
248000 2046.09
249000 2038.05
250000 1993.43
251000 2129.53
252000 1990.49
253000 1949
254000 2010.55
255000 2003.69
256000 2038.14
257000 1942.9
258000 1975.64
259000 1952.95
260000 1884.36
261000 1975.33
262000 1946.69
263000 2023.59
264000 2010.31
265000 1911.85
266000 1934.26
267000 2012.6
268000 2074.57
269000 2004.28
270000 2005.83
271000 1991.32
272000 1902.58
273000 1979.08
274000 1968.01
275000 1960.61
276000 1942.08
277000 1962.18
278000 1925.58
279000 1939.47
280000 1904.81
281000 1914.38
282000 1937.17
283000 1926.99
284000 1884.17
285000 1833.22
286000 1925.89
287000 1910.61
288000 1941.12
289000 1894.53
290000 1942.53
291000 1812
292000 1902.17
293000 1811.88
294000 1911.49
295000 1879.29
296000 1853.32
297000 1849.14
298000 1929
299000 1839.47
300000 1920.93
301000 1875.31
302000 1934.82
303000 1813.73
304000 1800.81
305000 1840.16
306000 1839.06
307000 1854.42
308000 1796.14
309000 1786.66
310000 1820.74
311000 1827.37
312000 1806.04
313000 1772.33
314000 1769.68
315000 1777.91
316000 1820.83
317000 1828.74
318000 1881.04
319000 1779.62
320000 1833.19
321000 1791.5
322000 1861.81
323000 1848.24
324000 1811.63
325000 1866.1
326000 1803.95
327000 1876.76
328000 1855.76
329000 1812.51
330000 1832.54
331000 1808.81
332000 1746.7
333000 1786.45
334000 1788.89
335000 1813.21
336000 1775.33
337000 1821.29
338000 1780.44
339000 1800.91
340000 1795.79
341000 1922.35
342000 1851.92
343000 1844.46
344000 1802.07
345000 1844.46
346000 1734.39
347000 1821.15
348000 1825.48
349000 1724.62
350000 1793.08
351000 1772.17
352000 1753.77
353000 1791.74
354000 1764.23
355000 1829.86
356000 1817.28
357000 1769.48
358000 1911.04
359000 1683.48
360000 1708.21
361000 1812.52
362000 1769.18
363000 1750.28
364000 1830.44
365000 1755.02
366000 1744.01
367000 1709.2
368000 1732.01
369000 1819.63
370000 1769.07
371000 1708.28
372000 1703.26
373000 1723.38
374000 1765.62
375000 1725.68
376000 1821.65
377000 1745.54
378000 1702.06
379000 1741.64
380000 1735.28
381000 1691.71
382000 1784.44
383000 1748.68
384000 1699.92
385000 1692.67
386000 1758.28
387000 1697.47
388000 1695.85
389000 1705.73
390000 1757.43
391000 1689.53
392000 1683.15
393000 1600.11
394000 1704.13
395000 1714.26
396000 1716.18
397000 1648.65
398000 1680.33
399000 1725.91
400000 1774.09
401000 1591.65
402000 1688.67
403000 1669.5
404000 1697.95
405000 1730.84
406000 1673.12
407000 1644.71
408000 1696.37
409000 1571.28
410000 1634.41
411000 1618.31
412000 1615.82
413000 1609.7
414000 1633.41
415000 1642.73
416000 1690.63
417000 1671.1
418000 1589.53
419000 1623.38
420000 1611.29
421000 1611.79
422000 1608.63
423000 1637
424000 1665.35
425000 1626.38
426000 1649.79
427000 1608.61
428000 1590.83
429000 1665.23
430000 1667.89
431000 1677.14
432000 1613.25
433000 1667.77
434000 1628.92
435000 1644.74
436000 1653.34
437000 1588.86
438000 1608.59
439000 1651.19
440000 1623.12
441000 1625.9
442000 1620.37
443000 1654.28
444000 1652.32
445000 1591.27
446000 1628.5
447000 1653.01
448000 1623.13
449000 1602
450000 1638.77
451000 1688.84
452000 1633.88
453000 1653.89
454000 1624.82
455000 1688.59
456000 1716.9
457000 1647.74
458000 1669.3
459000 1687.49
460000 1636.09
461000 1650.68
462000 1630.82
463000 1675.4
464000 1707.33
465000 1705.81
466000 1664.95
467000 1630.24
468000 1749.57
469000 1640.85
470000 1674.49
471000 1628.66
472000 1673.08
473000 1650.37
474000 1659.32
475000 1557.33
476000 1694.95
477000 1682.27
478000 1652.87
479000 1727.39
480000 1714.62
481000 1731.18
482000 1717.73
483000 1736.71
484000 1652.64
485000 1708.79
486000 1730.51
487000 1636.73
488000 1689.77
489000 1732.91
490000 1709.44
491000 1681.1
492000 1724.18
493000 1645.43
494000 1606.45
495000 1697.71
496000 1728.06
497000 1679.85
498000 1733.55
499000 1669.91
500000 1624.17
501000 1661.87
502000 1706.3
503000 1702.58
504000 1720.86
505000 1653.52
506000 1640.26
507000 1680.63
508000 1653.95
509000 1714.13
510000 1668.02
511000 1676.56
512000 1626.41
513000 1702.57
514000 1653.65
515000 1677.32
516000 1652.23
517000 1640.1
518000 1669.58
519000 1687.37
520000 1681
521000 1651.75
522000 1696.85
523000 1685.52
