# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 1885.64
202000 2262.64
203000 2330.17
204000 2285.74
205000 2275.47
206000 2221.97
207000 2295.1
208000 2255.66
209000 2237.47
210000 2221.25
211000 2267.17
212000 2204.31
213000 2170.2
214000 2226.93
215000 2183.65
216000 2277.08
217000 2186.61
218000 2140.74
219000 2199.85
220000 2212.89
221000 2068.92
222000 2209.32
223000 2124.86
224000 2164.12
225000 2188.22
226000 2222.55
227000 2137.89
228000 2082.91
229000 2146.49
230000 2123.19
231000 1999.49
232000 2134.33
233000 2105.46
234000 2092.76
235000 2205.43
236000 2107.65
237000 2095.48
238000 2128.36
239000 2073.76
240000 2112.58
241000 2077.85
242000 2109.93
243000 2145.25
244000 2075.26
245000 2066.42
246000 2111.37
247000 1998.53
248000 2048.46
249000 1985.27
250000 2098.43
251000 2083.55
252000 2004.63
253000 2047.39
254000 2036.35
255000 2046.74
256000 2011.75
257000 2098.57
258000 1975.19
259000 2004.59
260000 2021.9
261000 2028.86
262000 2036.55
263000 1960.29
264000 2058.54
265000 2034.64
266000 2105.37
267000 2014.35
268000 1947.05
269000 2045.31
270000 2034.56
271000 2058.25
272000 2033.04
273000 2046.62
274000 2040.47
275000 2007.61
276000 2083.83
277000 2093.06
278000 2008.93
279000 1998.67
280000 2004.99
281000 1996.75
282000 1984.41
283000 1912.28
284000 2013.17
285000 1948.5
286000 2000.34
287000 2014.08
288000 1997.24
289000 1945.88
290000 1994.35
291000 1944.34
292000 1959.71
293000 1995.79
294000 1981.89
295000 1956.64
296000 1896.58
297000 1942.77
298000 1845.2
299000 1956.38
300000 1860.82
301000 1896.49
302000 1889.9
303000 1973.16
304000 1912.04
305000 1918.09
306000 1957.39
307000 2000.15
308000 1873.39
309000 1897.11
310000 1957.47
311000 1952.21
312000 1922.03
313000 1866.01
314000 1934.89
315000 1877.39
316000 1915
317000 1924.42
318000 1825.77
319000 1897.2
320000 1875.78
321000 1810.86
322000 1853.52
323000 1848.69
324000 1874.68
325000 1843.39
326000 1791.21
327000 1833.57
328000 1878.71
329000 1867.81
330000 1782.64
331000 1804.67
332000 1784.08
333000 1820.86
334000 1889.86
335000 1738.39
336000 1858.2
337000 1738.38
338000 1881.05
339000 1775.74
340000 1831.36
341000 1885.91
342000 1841.86
343000 1856.46
344000 1839.43
345000 1967.81
346000 1844.02
347000 1817.57
348000 1856.88
349000 1811.03
350000 1894.72
351000 1799.38
352000 1757.51
353000 1847.64
354000 1825.11
355000 1864.91
356000 1781.14
357000 1828.45
358000 1910.59
359000 1879.38
360000 1908.82
361000 1823.07
362000 1824.07
363000 1820.05
364000 1801.59
365000 1833.05
366000 1766.84
367000 1822.85
368000 1842.67
369000 1841.86
370000 1781.81
371000 1825.78
372000 1838.92
373000 1801.62
374000 1814.19
375000 1852.41
376000 1798.26
377000 1758.09
378000 1903.7
379000 1814.34
380000 1847.79
381000 1893.46
382000 1774.01
383000 1778.01
384000 1799.57
385000 1890.8
386000 1771.52
387000 1771.57
388000 1802.12
389000 1831.85
390000 1799.37
391000 1861.08
392000 1824.49
393000 1770.07
394000 1782.51
395000 1804.01
396000 1859.33
397000 1808.34
398000 1777.07
399000 1818.51
400000 1728.24
401000 1812.5
402000 1829.8
403000 1846.25
404000 1808.82
405000 1735.61
406000 1844.58
407000 1814.19
408000 1753.48
409000 1868.07
410000 1771.15
411000 1737.17
412000 1775.23
413000 1742.25
414000 1810.52
415000 1718.6
416000 1816.63
417000 1772.05
418000 1766.16
419000 1723.02
420000 1751.67
421000 1744.6
422000 1756.81
423000 1741.55
424000 1728.2
425000 1726.83
426000 1719.29
427000 1753.09
428000 1755.75
429000 1720.06
430000 1836.53
431000 1761.03
432000 1755.73
433000 1738.53
434000 1749.55
435000 1801.98
436000 1722.29
437000 1698.36
438000 1707.32
439000 1704.84
440000 1742.42
441000 1676.91
442000 1759.51
443000 1713.12
444000 1756.87
445000 1739.83
446000 1755.49
447000 1628.3
448000 1745.87
449000 1724.54
450000 1721.16
451000 1746.99
452000 1681.41
453000 1794.64
454000 1748.61
455000 1690.14
456000 1785.65
457000 1737.51
458000 1819.01
459000 1731.87
460000 1647.68
461000 1697.94
462000 1778.88
463000 1714.78
464000 1697.06
465000 1712.26
466000 1672.23
467000 1713.8
468000 1756.63
469000 1702.05
470000 1734.45
471000 1690.41
472000 1746.83
473000 1723.64
474000 1736.13
475000 1729.85
476000 1717.03
477000 1723.96
478000 1671.19
479000 1721.17
480000 1754.24
481000 1705.55
482000 1676.16
483000 1740.3
484000 1763.48
485000 1680.03
486000 1761.01
487000 1707.75
488000 1675.06
489000 1699.47
490000 1735.49
491000 1722.81
492000 1681.54
493000 1720.04
494000 1742.91
495000 1719.13
496000 1713.22
497000 1759.12
498000 1749.52
499000 1718.97
500000 1786.77
501000 1766.94
502000 1791.06
503000 1716.34
504000 1807.74
505000 1803.05
506000 1759.31
507000 1686.96
508000 1796.34
509000 1721.47
510000 1712.74
511000 1685.73
512000 1759.34
513000 1694.89
514000 1692.72
515000 1685.47
516000 1756.33
517000 1734.95
518000 1743.23
519000 1675.4
520000 1687.33
521000 1665.84
522000 1748.74
523000 1749.08
524000 1771.93
525000 1825.7
526000 1639.59
527000 1650.22
528000 1685.73
529000 1735.9
530000 1761.81
531000 1722.67
532000 1719.73
533000 1740.41
534000 1683.8
535000 1665.74
536000 1702.46
537000 1661.31
538000 1725.42
539000 1716.82
540000 1702.86
541000 1687.69
542000 1745.58
543000 1737.56
544000 1765.93
545000 1733.82
546000 1645.2
547000 1682.32
548000 1695.04
549000 1681.53
550000 1731.34
551000 1705.73
552000 1713.26
553000 1696.38
554000 1690.23
555000 1688.58
556000 1737.59
557000 1742.58
558000 1679.74
559000 1740.84
560000 1742.97
561000 1751.01
562000 1724.51
563000 1695.72
564000 1774.73
565000 1747.24
566000 1745.25
567000 1726.26
568000 1681.51
569000 1732.63
570000 1817.69
571000 1740.89
572000 1766.26
573000 1808.89
574000 1751.38
575000 1696.1
576000 1714.89
577000 1810.62
578000 1743.3
579000 1705.52
580000 1766.33
581000 1744.09
582000 1624.27
583000 1648.68
584000 1742.96
585000 1734.16
586000 1700.66
587000 1701.1
588000 1735.91
589000 1648.53
590000 1669.09
591000 1695.76
592000 1741.46
593000 1737.76
594000 1730.33
595000 1646.29
596000 1696.9
597000 1657.7
598000 1623.15
599000 1677.09
600000 1727.1
601000 1729.73
602000 1745.41
603000 1718.22
604000 1719.74
605000 1744.82
606000 1793.43
607000 1740.65
608000 1786.6
609000 1765.24
610000 1745.45
611000 1699.07
612000 1822.83
613000 1736.7
614000 1714.1
615000 1757.42
616000 1696.64
617000 1713.45
618000 1775.56
619000 1783
620000 1804.89
621000 1762.06
622000 1764.69
623000 1775.85
624000 1702.03
625000 1730.74
626000 1800.26
627000 1740.88
628000 1701.23
629000 1734.51
630000 1693.43
631000 1764.47
632000 1721.84
633000 1704.64
634000 1646.59
635000 1671.86
636000 1747.46
637000 1715.01
638000 1797.21
639000 1837.17
640000 1806.83
641000 1702.99
642000 1769.8
643000 1767.05
644000 1773.25
645000 1809.49
646000 1809.04
647000 1698.82
648000 1757.14
649000 1759.32
650000 1799.67
651000 1732.43
652000 1746.57
653000 1767.99
654000 1794.21
655000 1724.02
656000 1804.89
657000 1794.93
658000 1782.73
659000 1731.22
660000 1774.92
661000 1685.98
662000 1772.29
663000 1692.82
664000 1703.17
665000 1661.26
666000 1751.21
667000 1754.98
668000 1771.83
669000 1690.68
670000 1721.27
671000 1771.3
672000 1730.48
673000 1758.07
674000 1753.71
675000 1739.66
676000 1785.3
677000 1685.24
678000 1746.92
679000 1735.73
680000 1811.16
681000 1823.1
682000 1701
683000 1661.22
684000 1746.95
685000 1699.47
686000 1811.34
687000 1724.52
688000 1741.82
689000 1821.27
690000 1728.86
691000 1801.19
692000 1721.18
693000 1755.44
694000 1781.92
695000 1725.18
696000 1734.3
697000 1648.03
698000 1816.58
699000 1784.22
700000 1801.02
