# Time-averaged data for fix avg_press
# TimeStep c_thermo_press
201000 1501.67
202000 1958.16
203000 1957.75
204000 1946.94
205000 1891.27
206000 1956.69
207000 1866.17
208000 1871.69
209000 1882.26
210000 1914.49
211000 1924.41
212000 1902.31
213000 1881.74
214000 1944.71
215000 1891.46
216000 1898.38
217000 1780.55
218000 1835.63
219000 1828.2
220000 1887.78
221000 1879.03
222000 1824.01
223000 1869.78
224000 1795.94
225000 1749.43
226000 1771.5
227000 1785.02
228000 1824.27
229000 1759.85
230000 1783.16
231000 1672.75
232000 1711.5
233000 1695.89
234000 1695.96
235000 1679.44
236000 1713.72
237000 1707.15
238000 1790.02
239000 1625.29
240000 1725.95
241000 1746.46
242000 1739.14
243000 1692.43
244000 1731.91
245000 1718.54
246000 1699.52
247000 1719.41
248000 1690.31
249000 1653.61
250000 1674.31
251000 1641.31
252000 1654.62
253000 1643.73
254000 1671.88
255000 1639.62
256000 1682.83
257000 1650.3
258000 1662.7
259000 1644.26
260000 1664.03
261000 1600.67
262000 1664.45
263000 1641.13
264000 1645.68
265000 1650.11
266000 1599.04
267000 1602.21
268000 1639.54
269000 1584.09
270000 1608.85
271000 1617.99
272000 1610.38
273000 1622.67
274000 1563.58
275000 1595.83
276000 1587.92
277000 1554.84
278000 1568.82
279000 1603.76
280000 1643.36
281000 1574.31
282000 1545.16
283000 1590.91
284000 1576.48
285000 1546.68
286000 1586.48
287000 1571.89
288000 1519.93
289000 1540.9
290000 1556.55
291000 1527.22
292000 1547.2
293000 1553.61
294000 1544.94
295000 1525.85
296000 1555.94
297000 1497.47
298000 1506.98
299000 1556.03
300000 1569.09
301000 1535.92
302000 1478.81
303000 1574.45
304000 1506.04
305000 1551.5
306000 1502.59
307000 1503.62
308000 1499.14
309000 1500.44
310000 1509.25
311000 1438.47
312000 1484.71
313000 1530.48
314000 1476.84
315000 1448.06
316000 1436.45
317000 1455.68
318000 1519.76
319000 1505.94
320000 1431.98
321000 1458.92
322000 1524.04
323000 1442.14
324000 1517.97
325000 1412.54
326000 1419.52
327000 1474.16
328000 1537.65
329000 1417.35
330000 1527.21
331000 1451.82
332000 1454.83
333000 1383.58
334000 1557.16
335000 1441.62
336000 1438.45
337000 1441.68
338000 1428.11
339000 1442.04
340000 1459.75
341000 1412.19
342000 1429.23
343000 1437.97
344000 1465.79
345000 1415.13
346000 1380.24
347000 1390.11
348000 1457.59
349000 1454.91
350000 1441.37
351000 1404.81
352000 1458.58
353000 1442.01
354000 1464.06
355000 1375.04
356000 1414.8
357000 1355.32
358000 1386.93
359000 1374.04
360000 1382.94
361000 1430.64
362000 1440.21
363000 1383.13
364000 1420.01
365000 1402.61
366000 1449.96
367000 1444.33
368000 1409.8
369000 1378.04
370000 1535.33
371000 1438.52
372000 1467.6
373000 1456.6
374000 1455.89
375000 1503.31
376000 1443.48
377000 1416.03
378000 1477.95
379000 1430.8
380000 1454.52
381000 1377.57
382000 1424.86
383000 1415.08
384000 1430.89
385000 1431.37
386000 1471.95
387000 1428.71
388000 1439.39
389000 1458.99
390000 1461.74
391000 1414.53
392000 1416.58
393000 1421.37
394000 1422.19
395000 1384.62
396000 1482.26
397000 1465.42
398000 1520.81
399000 1393.45
400000 1502.62
401000 1442.49
402000 1368.09
403000 1423.18
404000 1406.08
405000 1443.02
406000 1474.69
407000 1391.76
408000 1447.23
409000 1476.73
410000 1460.9
411000 1454.31
412000 1453.16
413000 1388.53
414000 1461.48
415000 1414.27
416000 1411.28
417000 1413.49
418000 1397.76
419000 1368.96
420000 1384.22
421000 1519.96
422000 1399.37
423000 1405.02
424000 1395.03
425000 1430.55
426000 1386.55
427000 1384.45
428000 1419.12
429000 1407.91
430000 1385.87
431000 1428.6
432000 1481.02
433000 1428.17
434000 1425.66
435000 1387.44
436000 1407.51
437000 1392.29
438000 1365.13
439000 1379.97
