Pressure_bar,Fugacity_bar,Phi,mu_residual_kJ_mol,mu_input_kJ_mol
0.5,0.49882580527359677,0.9976516105471935,-0.006121290682269713,-1.8107501458530417
4.21875,4.135575677551951,0.9802846050493512,-0.05184234665101691,3.696039006655627
7.9375,7.6445201296640795,0.9630891501938997,-0.09791689651949868,5.295549728236572
11.65625,11.02751826522635,0.9460605482231721,-0.14436232357065004,6.249495134050176
15.375,14.286355807709501,0.9291938736721627,-0.19119763478521007,6.923577803479304
19.09375,17.422740091414944,0.912483932774596,-0.23844369608010482,7.440303640590795
22.8125,20.438293949151713,0.8959252142093902,-0.28612351523145413,7.855915511150464
26.53125,23.334548207301765,0.8795118287793362,-0.3342625852198378,8.200947482610216
30.25,26.112932401927793,0.8632374347744725,-0.3828893050503311,8.493833227574116
33.96875,28.77476319226835,0.8470951445745972,-0.4320355012204268,8.746552691793198
37.6875,31.321229750082487,0.8310774063040129,-0.48173708185096076,8.967325214935602
41.40625,33.753375112309946,0.815175851768995,-0.5320348685295532,9.162028267375085
45.125,36.072072046891215,0.799381097992049,-0.5829756705660963,9.335002894789831
48.84375,38.277991306853764,0.7836824835696228,-0.6346136967300261,9.489538366612244
52.5625,40.371559078132606,0.7680677113556739,-0.6870124477976681,9.62817749487612
56.28125,42.352898677721775,0.7525223529634074,-0.740247312318119,9.752915986426366
60.0,44.2217486001152,0.7370291433352533,-0.7944092220606896,9.86533599111131
