# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
12000000 30 3640
  20 10.1863 118 1.18117
  21 11.1863 112 1.18607
  22 12.1863 111 1.0522
  23 13.1863 124 1.2051
  24 14.1863 123 1.32279
  25 15.1863 120 1.15242
  26 16.1863 118 1.27001
  27 17.1863 119 1.20003
  28 18.1863 124 1.18994
  29 19.1863 108 0.963411
  30 20.1863 92 0.88304
12070000 30 3640
  1 -8.81367 100 0.989926
  2 -7.81367 141 1.3835
  3 -6.81367 110 1.049
  4 -5.81367 128 1.17741
  5 -4.81367 129 1.23909
  6 -3.81367 132 1.3537
  7 -2.81367 111 1.12065
  8 -1.81367 133 1.27857
  9 -0.813671 115 1.05544
  10 0.186329 99 0.978714
  11 1.18633 117 1.14664
  12 2.18633 123 1.191
  13 3.18633 130 1.19478
  14 4.18633 121 1.13545
  15 5.18633 123 1.15523
  16 6.18633 126 1.27984
  17 7.18633 117 0.999794
  18 8.18633 117 1.08609
  19 9.18633 148 1.45893
  20 10.1863 123 1.27114
  21 11.1863 119 1.22167
  22 12.1863 110 1.00835
  23 13.1863 118 1.21575
  24 14.1863 118 1.13299
  25 15.1863 139 1.34411
  26 16.1863 119 1.27233
  27 17.1863 131 1.35019
  28 18.1863 115 1.09471
  29 19.1863 126 1.12814
  30 20.1863 102 0.947838
12080000 30 3640
  1 -8.81367 98 0.918663
  2 -7.81367 148 1.37561
  3 -6.81367 110 1.142
  4 -5.81367 124 1.25985
  5 -4.81367 123 1.08875
  6 -3.81367 133 1.42987
  7 -2.81367 122 1.13599
  8 -1.81367 129 1.22389
  9 -0.813671 129 1.30722
  10 0.186329 103 0.929853
  11 1.18633 101 1.10362
  12 2.18633 145 1.30982
  13 3.18633 123 1.16947
  14 4.18633 127 1.27359
  15 5.18633 122 1.20164
  16 6.18633 124 1.21407
  17 7.18633 125 1.04538
  18 8.18633 111 1.05403
  19 9.18633 145 1.45984
  20 10.1863 134 1.44114
  21 11.1863 112 1.08
  22 12.1863 115 1.05513
  23 13.1863 118 1.1868
  24 14.1863 118 1.29599
  25 15.1863 133 1.21914
  26 16.1863 108 1.09734
  27 17.1863 129 1.33322
  28 18.1863 118 1.24997
  29 19.1863 124 1.02307
  30 20.1863 89 0.84162
12090000 30 3640
  1 -8.81367 116 1.17125
  2 -7.81367 150 1.41378
  3 -6.81367 113 1.16371
  4 -5.81367 122 1.25573
  5 -4.81367 131 1.23196
  6 -3.81367 120 1.26584
  7 -2.81367 126 1.28236
  8 -1.81367 137 1.32273
  9 -0.813671 108 1.05664
  10 0.186329 110 1.0704
  11 1.18633 100 1.07789
  12 2.18633 128 1.16769
  13 3.18633 135 1.32657
  14 4.18633 109 1.093
  15 5.18633 136 1.3292
  16 6.18633 119 1.18897
  17 7.18633 125 1.06924
  18 8.18633 118 1.18143
  19 9.18633 141 1.39988
  20 10.1863 119 1.29613
  21 11.1863 122 1.23813
  22 12.1863 115 1.10952
  23 13.1863 119 1.17515
  24 14.1863 118 1.26229
  25 15.1863 122 1.18646
  26 16.1863 126 1.27095
  27 17.1863 123 1.30378
  28 18.1863 110 1.189
  29 19.1863 115 0.982153
  30 20.1863 107 0.979577
12100000 30 3640
  1 -8.81367 101 0.985309
  2 -7.81367 155 1.50228
  3 -6.81367 114 1.03265
  4 -5.81367 123 1.2728
  5 -4.81367 125 1.18085
  6 -3.81367 135 1.35509
  7 -2.81367 125 1.31027
  8 -1.81367 128 1.20198
  9 -0.813671 128 1.15849
  10 0.186329 105 1.10995
  11 1.18633 105 1.08367
  12 2.18633 123 1.10742
