# CH4 Adsorption Isotherm - Coal Model
# System: 3640 atoms, 20 types, PCFF class2 + TraPPE-UA
# Temperature: 298.15 K, Volume: 39649.0770159341 A^3
# Pressure(bar) N_CH4 Loading(mg/g) Loading(mmol/g) Density Chemical_Potential
0.5 0 0 0 0 -9.44634
2 6 2.11516483516484 0.131868131868132 0.000151327608397762 -8.70186
5 11 3.8778021978022 0.241758241758242 0.000277433948729231 -8.20956
10 14 4.93538461538462 0.307692307692308 0.000353097752928112 -7.83442
20 24 8.46065934065934 0.527472527472527 0.00060531043359105 -7.45428
40 29 10.2232967032967 0.637362637362637 0.000731416773922519 -7.06414
