# Time-averaged data for fix avg_qst
# TimeStep v_U_ch4 v_Nmol_ch4 v_UN_ch4 v_N2_ch4 v_U_co2 v_Nmol_co2 v_UN_co2 v_N2_co2
220000 -47.8508 19.4 -928.837 376.6 -89.6933 14.6667 -1315.5 215.111
230000 -45.1977 18.6 -842.105 346.6 -91.2132 14.8 -1350.45 219.111
240000 -42.7518 17.6 -753.034 310 -95.6443 15.6 -1492.75 243.467
250000 -38.3605 15.4 -591.094 237.4 -100.121 16.4 -1642.57 269.067
260000 -37.9411 15.2 -578.206 231.6 -102.902 16.6667 -1715.03 277.778
270000 -39.7376 16 -635.802 256 -102.609 16.6667 -1710.14 277.778
280000 -41.3703 16.8 -696.168 282.8 -102.436 16.6667 -1707.27 277.778
290000 -46.0111 19 -875.85 361.8 -103.156 16.6667 -1719.27 277.778
300000 -48.6047 20.4 -992.179 416.4 -103.008 16.6667 -1716.8 277.778
310000 -50.1485 20.8 -1043.47 432.8 -102.541 16.6667 -1709.02 277.778
320000 -49.0803 20.6 -1012.67 425 -102.675 16.6667 -1711.25 277.778
330000 -48.3953 20 -971.978 402 -101.645 16.6667 -1694.08 277.778
340000 -43.9918 18 -791.852 324 -103.035 16.6667 -1717.25 277.778
350000 -47.0166 19 -893.314 361 -111.399 18 -2008.76 324.711
360000 -50.1806 20.4 -1026.38 417.2 -120.425 19.4667 -2344.75 379.022
370000 -53.4006 22 -1174.81 484 -126.865 20.6667 -2621.88 427.111
380000 -54.1411 22.4 -1213.31 502 -126.531 20.6667 -2614.97 427.111
390000 -49.5431 20.4 -1012.02 416.8 -132.265 21.2 -2804.38 449.511
400000 -44.3698 17.6 -781.706 310 -132.446 21.3333 -2825.51 455.111
410000 -49.2169 19.6 -965.216 384.4 -132.639 21.3333 -2829.64 455.111
420000 -47.5419 19 -903.296 361 -132.46 21.3333 -2825.8 455.111
430000 -48.8887 19.8 -968.392 392.2 -132.928 21.3333 -2835.79 455.111
440000 -49.0161 19.6 -961.371 384.4 -132.465 21.4667 -2844.24 460.889
450000 -48.0285 19.2 -922.434 368.8 -137.022 22 -3014.49 484
460000 -45.6615 18.2 -831.523 331.4 -138.074 22 -3037.63 484
470000 -47.2903 19 -898.516 361 -137.855 22 -3032.81 484
480000 -43.2124 17.2 -744.499 296.4 -142.039 22.5333 -3200.79 507.822
490000 -41.1928 16.4 -676.079 269.2 -142.824 22.6667 -3237.34 513.778
500000 -45.1529 18.2 -823.554 332.2 -142.739 22.6667 -3235.43 513.778
510000 -47.2245 19.4 -916.706 376.6 -140.429 22.6667 -3183.05 513.778
520000 -50.3764 20.6 -1038.32 424.6 -141.913 22.6667 -3216.69 513.778
530000 -49.9172 20.2 -1009.59 408.6 -142.407 22.6667 -3227.9 513.778
540000 -47.4443 19 -901.442 361 -146.938 23.3333 -3428.54 544.444
550000 -47.3981 19 -900.564 361 -146.328 23.3333 -3414.33 544.444
560000 -42.9372 17 -729.932 289 -146.973 23.3333 -3429.37 544.444
570000 -42.3516 16.8 -711.868 282.4 -145.541 23.3333 -3395.96 544.444
580000 -44.2413 17.6 -779.367 310 -149.041 23.7333 -3537.94 563.378
590000 -43.3648 17 -737.202 289 -152.834 24.5333 -3749.73 601.956
600000 -43.8723 17.2 -754.968 296 -153.422 24.6667 -3784.41 608.444
610000 -49.2616 19.8 -976.626 392.6 -154.495 24.9333 -3852.83 621.778
620000 -44.4345 17.4 -773.591 303 -158.619 25.3333 -4018.34 641.778
630000 -44.172 17.2 -759.96 296 -162.881 25.8667 -4213.9 669.156
640000 -44.7577 17.2 -770.271 296 -162.357 26 -4221.29 676
650000 -45.2628 17.6 -797.254 310 -168.736 26.6667 -4499.62 711.111
660000 -45.4709 17.6 -800.928 310 -167.199 26.6667 -4458.63 711.111
670000 -47.727 19.2 -917.52 369.2 -168.6 26.9333 -4541.59 725.511
680000 -50.0465 19.8 -991.076 392.2 -176.341 28 -4937.55 784
690000 -51.8185 20.2 -1047.29 408.2 -175.601 28 -4916.83 784
700000 -54.4131 21.4 -1166.36 459 -180.947 28.5333 -5163.41 814.222
710000 -59.3047 23.6 -1399.95 557.2 -183.075 28.9333 -5297.53 837.244
720000 -60.0212 23.4 -1404.71 547.8 -184.67 29.3333 -5416.98 860.444
730000 -57.0864 22 -1255.9 484 -185.343 29.3333 -5436.73 860.444
740000 -56.4306 21.6 -1219.55 466.8 -183.7 29.3333 -5388.52 860.444
750000 -53.9906 20.8 -1123.45 432.8 -183.123 29.3333 -5371.61 860.444
760000 -51.6779 20 -1034.58 400.4 -184.265 29.3333 -5405.12 860.444
770000 -47.5242 18 -855.436 324 -183.248 29.3333 -5375.28 860.444
780000 -48.5116 18.6 -902.906 346.2 -184.053 29.3333 -5398.89 860.444
790000 -49.4715 19.4 -960.151 376.6 -190.645 30 -5719.35 900
800000 -51.0696 20 -1021.39 400 -188.232 30 -5646.95 900
810000 -50.6879 19.8 -1004.06 392.2 -188.516 30 -5655.47 900
820000 -45.5763 17.8 -811.75 317 -186.876 30 -5606.29 900
830000 -38.5437 15.2 -586.964 231.6 -187.826 29.7333 -5585.01 884.178
840000 -40.49 16 -647.839 256 -191.308 30 -5739.23 900
850000 -38.3976 15.2 -585.976 232 -189.91 30.1333 -5723 908.089
860000 -37.4323 15 -563.163 225.8 -193.951 30.6667 -5947.84 940.444
870000 -38.3465 16.2 -621.382 262.6 -194.727 30.6667 -5971.62 940.444
880000 -40.1897 16.4 -659.786 269.2 -193.928 30.6667 -5947.13 940.444
890000 -42.5252 17.6 -749.062 310 -194.397 31.0667 -6039.76 965.244
900000 -44.8325 18.4 -826.739 339.2 -197.418 31.3333 -6185.76 981.778
910000 -38.871 15.8 -615.592 250.2 -198.461 31.3333 -6218.43 981.778
