# Time-averaged data for fix avg_out
# TimeStep v_n_ch4 v_n_co2 v_selectivity v_strain c_TempCO2
700000 22.2 28.6667 1.29272 1.88096e-17 323.118
705000 24 28.6667 1.19439 8.63827e-17 316.272
710000 23.2 29.2 1.25912 8.63781e-17 320.53
715000 23.8 29.3333 1.2328 -1.04321e-16 320.336
720000 23 29.3333 1.27531 2.15788e-17 321.582
725000 22 29.3333 1.33327 -3.2387e-17 319.456
730000 22 29.3333 1.33327 2.82153e-19 317.187
735000 22 29.3333 1.33327 -1.68693e-16 315.148
740000 21.2 29.3333 1.38406 2.26433e-16 314.657
745000 21 29.3333 1.39676 1.12023e-16 317.134
750000 20.6 29.3333 1.42469 7.24081e-17 315.725
755000 19.6 29.3333 1.49747 -1.46042e-17 314.291
760000 20.4 29.3333 1.43866 -6.82897e-17 324.717
765000 18 29.3333 1.62954 7.94354e-17 317.576
770000 18 29.3333 1.62954 8.89069e-17 319.206
775000 18.4 29.3333 1.59523 -3.52679e-16 321.199
780000 18.8 29.3333 1.56093 -1.40073e-16 321.059
785000 19 30 1.57886 -1.04916e-16 312.949
790000 19.8 30 1.51571 8.59263e-17 322.001
795000 20 30 1.49993 1.35833e-17 318.806
800000 20 30 1.49993 -2.09661e-17 318.242
805000 20 30 1.49993 1.29093e-16 316.674
810000 19.6 30 1.5315 -1.04313e-16 317.302
815000 18 30 1.66657 -5.04981e-17 315.613
820000 17.6 30 1.70579 -1.07888e-16 321.556
825000 15.8 30 1.89988 3.23423e-17 318.844
830000 14.6 29.4667 2.02018 8.20218e-17 311.733
835000 16 30 1.87488 -2.14772e-17 315.557
840000 16 30 1.87488 -5.69424e-17 319.777
845000 16 30 1.87488 -4.63414e-17 316.496
850000 14.4 30.2667 2.10819 1.08156e-16 322.184
855000 14.2 30.6667 2.16112 2.90187e-17 322.137
860000 15.8 30.6667 1.9421 2.08034e-16 313.036
865000 16.2 30.6667 1.894 4.27457e-17 317.733
870000 16.2 30.6667 1.894 -2.91788e-17 321.2
875000 16 30.6667 1.91655 -1.77692e-17 315.82
880000 16.8 30.6667 1.82636 3.53443e-17 318.258
885000 17.6 30.8 1.7511 -1.28512e-16 316.037
890000 17.6 31.3333 1.7816 -6.8661e-17 317.763
895000 19 31.3333 1.64904 7.85571e-17 315.031
900000 17.8 31.3333 1.76328 2.8914e-17 317.452
905000 16.4 31.3333 1.91214 -3.16327e-17 316.749
910000 15.2 31.3333 2.06264 1.25481e-16 312.677
915000 15 31.3333 2.08875 -9.06824e-17 316.438
920000 14.6 31.3333 2.14842 -5.4295e-17 318.572
925000 13 31.3333 2.41007 -6.88558e-17 321.351
930000 13.8 31.3333 2.27236 -7.35099e-18 317.663
935000 14.6 31.3333 2.14842 1.87706e-16 317.453
940000 14.6 30.8 2.1116 -1.15076e-16 322.213
