# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
12000000 200
81 4.83 3.53888 0.2 0.730689 1.88462 0.926116 0.514286 1.80733 0.78 0 0 1.23654 8.46269
82 4.89 0 0.2 1.55535 2.06923 0.903529 0.542857 1.32244 0.84 0 0 1.21368 9.20746
83 4.95 0.673876 0.225 1.51787 2.25385 0.881759 0.571429 0.860383 0.88 0 0 1.15833 9.93582
84 5.01 1.31566 0.275 1.23478 2.40769 3.44306 0.685714 2.51969 1 0 0 1.20953 10.7149
85 5.07 0 0.275 1.56744 2.60769 1.68103 0.742857 1.64027 1.08 0 0 1.11093 11.4478
86 5.13 1.25483 0.325 1.23657 2.76923 1.64193 0.8 1.2016 1.14 0 0 1.0188 12.1358
87 5.19 0.612994 0.35 1.38074 2.95385 1.60419 0.857143 0.391325 1.16 0 0 0.926286 12.7761
88 5.25 1.79719 0.425 0.843349 3.06923 0.783866 0.885714 0.764864 1.2 0 0 0.835601 13.3672
89 5.31 0 0.425 1.31904 3.25385 0 0.885714 2.24303 1.32 0 0 0.934398 14.0433
90 5.37 0.572588 0.45 1.02103 3.4 0 0.885714 0.365531 1.34 0 0 0.921701 14.7254
91 5.43 0.560004 0.475 0.788364 3.51538 0.732759 0.914286 2.14499 1.46 0 0 0.893555 15.4015
92 5.49 0.547831 0.5 1.0283 3.66923 1.43366 0.971429 1.74863 1.56 0 0 0.901146 16.0985
93 5.55 1.0721 0.55 1.00619 3.82308 0 0.971429 1.36882 1.64 0 0 0.955405 16.8537
94 5.61 1.57394 0.625 1.23098 4.01538 0.686492 1 0.334925 1.66 0 0 0.992365 17.6552
95 5.67 0 0.625 1.15686 4.2 1.34408 1.05714 1.3115 1.74 0 0 0.973283 18.4582
96 5.73 0 0.625 0.991164 4.36154 0.65804 1.08571 0.642087 1.78 0 0 0.89278 19.2104
97 5.79 0.492532 0.65 0.878278 4.50769 0 1.08571 0.943273 1.84 0 0 0.815387 19.9119
98 5.85 0.482481 0.675 1.13205 4.7 0 1.08571 0.924024 1.9 0 0 0.939803 20.7373
99 5.91 1.4182 0.75 1.19791 4.90769 1.8557 1.17143 1.20714 1.98 0 0 0.970772 21.6075
100 5.97 1.38984 0.825 0.739156 5.03846 1.21239 1.22857 0.887251 2.04 0 0 0.964411 22.4896
101 6.03 0.454106 0.85 1.02285 5.22308 0 1.22857 0.579788 2.08 0 0 0.996499 23.4194
102 6.09 1.33561 0.925 0.961013 5.4 0.582542 1.25714 1.98947 2.22 0 0 1.01146 24.3821
103 6.15 1.30967 1 1.22916 5.63077 0 1.25714 1.95084 2.36 0 0 0.971831 25.3254
104 6.21 1.28449 1.075 0.924231 5.80769 0.560246 1.28571 1.91333 2.5 0 0 1.01498 26.3299
105 6.27 0.840015 1.125 1.02488 6.00769 1.09915 1.34286 1.0725 2.58 0 0 0.930549 27.2687
106 6.33 2.06042 1.25 0.812172 6.16923 0.539206 1.37143 1.31534 2.68 0 0 1.07411 28.3731
107 6.39 1.61752 1.35 1.21446 6.41538 1.05826 1.42857 1.29075 2.78 0 0 1.04264 29.4657
108 6.45 1.19068 1.425 1.15473 6.65385 1.55799 1.51429 0.25337 2.8 0 0 1.05688 30.594
109 6.51 0.38961 1.45 0.767881 6.81538 1.5294 1.6 0.994884 2.88 0 0 0.999064 31.6806
110 6.57 0.382527 1.475 0.969325 7.02308 0 1.6 1.46519 3 0 0 1.01054 32.8
111 6.63 1.1269 1.55 1.02237 7.24615 1.96605 1.71429 0.479598 3.04 0 0 0.919564 33.8373
112 6.69 1.10678 1.625 1.17724 7.50769 0.482737 1.74286 0.471034 3.08 0 0 0.918738 34.8925
113 6.75 1.81199 1.75 1.08838 7.75385 0.948386 1.8 0.925395 3.16 0 0 0.890989 35.9343
114 6.81 0.35604 1.775 1.06928 8 3.72699 2.02857 0.45458 3.2 0 0 0.945587 37.0597
115 6.87 0 1.775 0.755181 8.17692 0 2.02857 0.893349 3.28 0 0 0.919284 38.1731
116 6.93 1.37526 1.875 1.12938 8.44615 0 2.02857 0.65846 3.34 0 0 0.957932 39.3537
117 6.99 1.6897 2 0.85634 8.65385 0.884379 2.08571 0.647205 3.4 0 0 0.946318 40.5403
118 7.05 0.664423 2.05 0.779469 8.84615 0.434695 2.11429 1.27247 3.52 0 0 0.985277 41.797
119 7.11 0.979885 2.125 1.07292 9.11538 0.854779 2.17143 0.417028 3.56 0 0 1.00093 43.0955
120 7.17 1.28474 2.225 0.934459 9.35385 0.420266 2.2 0.615117 3.62 0 0 0.967281 44.3716
121 7.23 1.2635 2.325 0.889368 9.58462 1.65328 2.31429 1.2099 3.74 0 0 0.946842 45.6418
122 7.29 0.932093 2.4 0.81647 9.8 0.406544 2.34286 0.991722 3.84 0 0 0.990417 46.9925
123 7.35 0.305646 2.425 0.917936 10.0462 1.1998 2.42857 1.36584 3.98 0 0 1.00984 48.3925
124 7.41 0.601432 2.475 1.04424 10.3308 1.57393 2.54286 0.575917 4.04 0 0 1.01262 49.8194
125 7.47 0.295905 2.5 0.944224 10.5923 0 2.54286 1.1334 4.16 0 0 1.04541 51.3164
126 7.53 0.291208 2.525 0.710592 10.7923 1.14313 2.62857 1.67312 4.34 0 0 0.965216 52.7209
127 7.59 0 2.525 1.1029 11.1077 2.25025 2.8 0.7319 4.42 0 0 1.0005 54.2
128 7.65 0.846431 2.6 1.00623 11.4 1.84591 2.94286 1.0807 4.54 0 0 0.982875 55.6761
129 7.71 1.66662 2.75 1.12098 11.7308 1.09037 3.02857 0.709294 4.62 0 0 0.991119 57.1881
130 7.77 1.64098 2.9 0.744378 11.9538 0.357867 3.05714 0.872978 4.72 0 0 0.953714 58.6657
