# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
17000000 30 3640
  22 12.1863 113 1.07197
  23 13.1863 115 1.19308
  24 14.1863 122 1.20064
  25 15.1863 135 1.30052
  26 16.1863 101 1.00157
  27 17.1863 122 1.33264
  28 18.1863 127 1.25973
  29 19.1863 124 0.999383
  30 20.1863 98 0.981858
17070000 30 3640
  1 -8.81367 93 0.81525
  2 -7.81367 140 1.40271
  3 -6.81367 115 1.07505
  4 -5.81367 126 1.23634
  5 -4.81367 132 1.20685
  6 -3.81367 124 1.28922
  7 -2.81367 134 1.36688
  8 -1.81367 119 1.13043
  9 -0.813671 110 1.00873
  10 0.186329 115 1.05912
  11 1.18633 108 1.12683
  12 2.18633 134 1.287
  13 3.18633 130 1.19701
  14 4.18633 127 1.31153
  15 5.18633 134 1.21801
  16 6.18633 130 1.20437
  17 7.18633 112 0.976684
  18 8.18633 117 1.09238
  19 9.18633 147 1.57611
  20 10.1863 121 1.1576
  21 11.1863 122 1.28802
  22 12.1863 110 0.997598
  23 13.1863 123 1.27704
  24 14.1863 128 1.18836
  25 15.1863 125 1.19955
  26 16.1863 118 1.23877
  27 17.1863 114 1.14903
  28 18.1863 131 1.24994
  29 19.1863 119 1.08374
  30 20.1863 82 0.77341
17080000 30 3640
  1 -8.81367 114 1.10288
  2 -7.81367 132 1.35934
  3 -6.81367 123 1.27997
  4 -5.81367 117 1.1216
  5 -4.81367 131 1.13941
  6 -3.81367 131 1.48106
  7 -2.81367 130 1.18712
  8 -1.81367 126 1.30885
  9 -0.813671 117 1.09035
  10 0.186329 106 1.10162
  11 1.18633 107 1.02237
  12 2.18633 135 1.34557
  13 3.18633 131 1.25258
  14 4.18633 121 1.23843
  15 5.18633 133 1.2425
  16 6.18633 123 1.2021
  17 7.18633 114 0.982204
  18 8.18633 118 1.20598
  19 9.18633 139 1.35804
  20 10.1863 129 1.38439
  21 11.1863 113 1.17066
  22 12.1863 115 1.04251
  23 13.1863 110 1.13927
  24 14.1863 125 1.25871
  25 15.1863 115 1.20834
  26 16.1863 125 1.16697
  27 17.1863 111 1.26241
  28 18.1863 117 1.167
  29 19.1863 122 1.09408
  30 20.1863 110 1.0097
17090000 30 3640
  1 -8.81367 87 0.886877
  2 -7.81367 151 1.42193
  3 -6.81367 129 1.34584
  4 -5.81367 118 1.08346
  5 -4.81367 120 1.04504
  6 -3.81367 127 1.39301
  7 -2.81367 132 1.26885
  8 -1.81367 131 1.25756
  9 -0.813671 108 1.10838
  10 0.186329 107 0.970416
  11 1.18633 122 1.24648
  12 2.18633 129 1.24652
  13 3.18633 127 1.19805
  14 4.18633 129 1.27743
  15 5.18633 131 1.22912
  16 6.18633 112 1.08466
  17 7.18633 122 1.08113
  18 8.18633 113 1.05495
  19 9.18633 151 1.62576
  20 10.1863 137 1.33351
  21 11.1863 105 1.03622
  22 12.1863 126 1.17427
  23 13.1863 108 1.1108
  24 14.1863 135 1.39327
  25 15.1863 114 1.1208
  26 16.1863 115 1.14806
  27 17.1863 126 1.29244
  28 18.1863 120 1.21296
  29 19.1863 122 1.11462
  30 20.1863 86 0.777538
17100000 30 3640
  1 -8.81367 112 1.12538
  2 -7.81367 138 1.40378
  3 -6.81367 123 1.2299
  4 -5.81367 126 1.22855
  5 -4.81367 118 1.13791
  6 -3.81367 139 1.37981
  7 -2.81367 121 1.24623
  8 -1.81367 131 1.24372
  9 -0.813671 121 1.23258
  10 0.186329 106 1.01566
  11 1.18633 109 1.1166
  12 2.18633 120 1.08259
  13 3.18633 124 1.30544
  14 4.18633 133 1.371
  15 5.18633 138 1.31065
  16 6.18633 128 1.15812
  17 7.18633 113 1.09382
  18 8.18633 130 1.24265
  19 9.18633 141 1.3547
  20 10.1863 111 1.20961
  21 11.1863 122 1.29407
  22 12.1863 124 1.19084
  23 13.1863 111 1.04612
  24 14.1863 115 1.32303
  25 15.1863 130 1.2312
  26 16.1863 122 1.22226
  27 17.1863 120 1.31305
  28 18.1863 119 1.16191
  29 19.1863 109 0.977963
  30 20.1863 86 0.753594
17110000 30 3640
  1 -8.81367 91 0.978034
  2 -7.81367 144 1.40437
  3 -6.81367 122 1.23501
  4 -5.81367 123 1.21116
  5 -4.81367 127 1.19623
  6 -3.81367 127 1.30268
  7 -2.81367 133 1.33786
  8 -1.81367 125 1.22497
  9 -0.813671 112 1.05217
  10 0.186329 111 1.16616
  11 1.18633 117 1.08465
  12 2.18633 123 1.16372
  13 3.18633 126 1.33537
  14 4.18633 119 1.12348
  15 5.18633 134 1.35541
  16 6.18633 130 1.15867
  17 7.18633 116 1.08718
  18 8.18633 117 1.09719
  19 9.18633 141 1.43828
  20 10.1863 124 1.31267
  21 11.1863 121 1.26505
  22 12.1863 110 0.961883
  23 13.1863 123 1.24885
  24 14.1863 125 1.24884
  25 15.1863 131 1.35425
  26 16.1863 115 1.14978
  27 17.1863 123 1.33787
  28 18.1863 108 1.11463
  29 19.1863 129 1.08852
  30 20.1863 93 0.788741
17120000 30 3640
  1 -8.81367 116 1.16629
  2 -7.81367 125 1.32762
  3 -6.81367 124 1.18388
  4 -5.81367 131 1.29729
  5 -4.81367 122 1.16878
  6 -3.81367 128 1.31868
  7 -2.81367 117 1.1411
  8 -1.81367 136 1.42704
  9 -0.813671 111 1.03268
  10 0.186329 112 1.11467
  11 1.18633 118 1.21175
  12 2.18633 120 1.02517
  13 3.18633 125 1.33269
  14 4.18633 121 1.21034
  15 5.18633 126 1.21799
  16 6.18633 138 1.32254
  17 7.18633 119 1.07812
  18 8.18633 135 1.32511
  19 9.18633 139 1.40212
  20 10.1863 114 1.14477
  21 11.1863 116 1.26188
  22 12.1863 125 1.18525
  23 13.1863 116 1.13988
  24 14.1863 128 1.36421
  25 15.1863 119 1.20524
  26 16.1863 111 1.0515
  27 17.1863 124 1.42721
  28 18.1863 112 1.05408
  29 19.1863 117 1.01253
  30 20.1863 95 0.871242
17130000 30 3640
  1 -8.81367 126 1.26472
  2 -7.81367 130 1.35067
  3 -6.81367 115 1.14824
  4 -5.81367 131 1.24817
  5 -4.81367 122 1.13065
  6 -3.81367 117 1.29868
  7 -2.81367 136 1.3064
  8 -1.81367 126 1.29609
  9 -0.813671 109 1.11803
  10 0.186329 109 1.00806
  11 1.18633 111 1.16606
  12 2.18633 135 1.18386
  13 3.18633 126 1.33934
  14 4.18633 127 1.17746
  15 5.18633 120 1.2317
  16 6.18633 131 1.25834
  17 7.18633 115 1.02576
  18 8.18633 129 1.32786
  19 9.18633 135 1.3368
  20 10.1863 120 1.20017
  21 11.1863 116 1.24176
  22 12.1863 105 1.05725
  23 13.1863 133 1.29513
  24 14.1863 114 1.24687
  25 15.1863 130 1.25712
  26 16.1863 103 1.08376
  27 17.1863 150 1.57832
  28 18.1863 110 1.05726
  29 19.1863 106 0.99024
  30 20.1863 103 0.906845
17140000 30 3640
  1 -8.81367 128 1.25152
  2 -7.81367 126 1.3615
  3 -6.81367 122 1.15402
  4 -5.81367 123 1.21942
  5 -4.81367 126 1.27311
  6 -3.81367 121 1.3115
  7 -2.81367 122 1.26796
  8 -1.81367 127 1.23217
  9 -0.813671 117 1.13879
  10 0.186329 108 1.07344
  11 1.18633 112 1.19768
  12 2.18633 129 1.17595
  13 3.18633 116 1.19376
  14 4.18633 138 1.37433
  15 5.18633 125 1.21694
  16 6.18633 128 1.26804
  17 7.18633 111 1.01579
  18 8.18633 114 1.12722
  19 9.18633 143 1.43585
  20 10.1863 116 1.28714
  21 11.1863 125 1.30003
  22 12.1863 113 1.15273
  23 13.1863 121 1.27196
  24 14.1863 111 1.08745
  25 15.1863 129 1.36797
  26 16.1863 131 1.31027
  27 17.1863 114 1.25401
  28 18.1863 113 1.08365
  29 19.1863 121 1.16691
  30 20.1863 110 1.02338
17150000 30 3640
  1 -8.81367 127 1.34718
  2 -7.81367 133 1.29577
  3 -6.81367 110 1.09645
  4 -5.81367 133 1.24683
  5 -4.81367 111 1.02764
  6 -3.81367 131 1.47977
  7 -2.81367 130 1.23435
  8 -1.81367 123 1.15786
  9 -0.813671 117 1.193
  10 0.186329 104 1.05145
  11 1.18633 115 1.11548
  12 2.18633 125 1.17051
  13 3.18633 124 1.27943
  14 4.18633 123 1.10527
  15 5.18633 135 1.36855
  16 6.18633 138 1.2169
  17 7.18633 110 1.00134
  18 8.18633 120 1.1642
  19 9.18633 145 1.55766
  20 10.1863 126 1.23938
  21 11.1863 114 1.30305
  22 12.1863 110 1.02135
  23 13.1863 122 1.11164
  24 14.1863 124 1.36844
  25 15.1863 111 1.01014
  26 16.1863 111 1.17027
  27 17.1863 132 1.36222
  28 18.1863 112 1.1554
  29 19.1863 111 0.986331
  30 20.1863 113 0.965008
17160000 30 3640
  1 -8.81367 124 1.26318
  2 -7.81367 130 1.27711
  3 -6.81367 129 1.29599
  4 -5.81367 123 1.2024
  5 -4.81367 130 1.26689
  6 -3.81367 129 1.33645
  7 -2.81367 118 1.15687
  8 -1.81367 130 1.2682
  9 -0.813671 112 1.14928
  10 0.186329 106 1.10272
  11 1.18633 107 1.04826
  12 2.18633 143 1.31632
  13 3.18633 119 1.18109
  14 4.18633 127 1.26822
  15 5.18633 129 1.2695
  16 6.18633 117 1.10383
  17 7.18633 121 1.09885
  18 8.18633 118 1.12539
  19 9.18633 134 1.46038
  20 10.1863 127 1.31744
  21 11.1863 123 1.27944
  22 12.1863 109 1.05453
  23 13.1863 120 1.1722
  24 14.1863 135 1.33916
  25 15.1863 108 1.15435
  26 16.1863 125 1.37039
  27 17.1863 112 1.12163
  28 18.1863 114 1.10137
  29 19.1863 106 0.919355
  30 20.1863 115 1.1038
17170000 30 3640
  1 -8.81367 117 1.12521
  2 -7.81367 140 1.46583
  3 -6.81367 117 1.11633
  4 -5.81367 131 1.21531
  5 -4.81367 118 1.19392
  6 -3.81367 127 1.32541
  7 -2.81367 139 1.3344
  8 -1.81367 119 1.15637
  9 -0.813671 105 1.05115
  10 0.186329 122 1.12907
  11 1.18633 114 1.22285
  12 2.18633 124 1.10016
  13 3.18633 125 1.21786
  14 4.18633 121 1.27165
  15 5.18633 120 1.1915
  16 6.18633 127 1.14271
  17 7.18633 120 1.04128
  18 8.18633 118 1.20525
  19 9.18633 146 1.42585
  20 10.1863 119 1.26537
  21 11.1863 124 1.29792
  22 12.1863 108 1.00601
  23 13.1863 126 1.21418
  24 14.1863 122 1.28802
  25 15.1863 112 1.08503
  26 16.1863 121 1.28915
  27 17.1863 114 1.09628
  28 18.1863 126 1.37812
  29 19.1863 117 1.01745
  30 20.1863 101 0.925924
17180000 30 3640
  1 -8.81367 109 1.11782
  2 -7.81367 145 1.42658
  3 -6.81367 100 0.982088
  4 -5.81367 139 1.33188
  5 -4.81367 113 1.09666
  6 -3.81367 141 1.46875
  7 -2.81367 122 1.24345
  8 -1.81367 134 1.26465
  9 -0.813671 114 1.07694
  10 0.186329 100 0.947239
  11 1.18633 112 1.15033
  12 2.18633 125 1.13039
  13 3.18633 129 1.31209
  14 4.18633 117 1.14382
  15 5.18633 140 1.26606
  16 6.18633 119 1.19127
  17 7.18633 118 1.06436
  18 8.18633 134 1.19143
  19 9.18633 143 1.52236
  20 10.1863 123 1.29695
  21 11.1863 113 1.17126
  22 12.1863 118 1.13902
  23 13.1863 122 1.08306
  24 14.1863 127 1.32699
  25 15.1863 117 1.185
  26 16.1863 124 1.30068
  27 17.1863 125 1.27219
  28 18.1863 110 1.07679
  29 19.1863 106 0.806848
  30 20.1863 101 0.977135
17190000 30 3640
  1 -8.81367 110 1.14776
  2 -7.81367 144 1.43521
  3 -6.81367 117 1.18815
  4 -5.81367 124 1.16928
  5 -4.81367 131 1.26756
  6 -3.81367 114 1.21203
  7 -2.81367 132 1.32794
  8 -1.81367 125 1.16553
  9 -0.813671 118 1.22483
  10 0.186329 107 0.992934
  11 1.18633 114 1.19206
  12 2.18633 133 1.20091
  13 3.18633 118 1.21841
  14 4.18633 125 1.21084
  15 5.18633 127 1.28275
  16 6.18633 122 1.11135
  17 7.18633 122 1.09127
  18 8.18633 118 1.16939
  19 9.18633 146 1.52958
  20 10.1863 122 1.16051
  21 11.1863 112 1.25601
  22 12.1863 123 1.18191
  23 13.1863 109 1.00309
  24 14.1863 139 1.5209
  25 15.1863 114 1.08234
  26 16.1863 126 1.32033
  27 17.1863 117 1.26254
  28 18.1863 115 1.17687
  29 19.1863 107 0.850689
  30 20.1863 109 1.04584
17200000 30 3640
  1 -8.81367 113 1.17641
  2 -7.81367 137 1.35411
  3 -6.81367 116 1.15882
  4 -5.81367 127 1.19016
  5 -4.81367 132 1.26523
  6 -3.81367 122 1.23011
  7 -2.81367 130 1.30282
  8 -1.81367 116 1.17501
  9 -0.813671 125 1.13895
  10 0.186329 109 1.14147
  11 1.18633 115 1.1877
  12 2.18633 130 1.15273
  13 3.18633 117 1.1189
