# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
17000000 200
81 4.83 1.42434 0.1 1.40361 1.98462 0.931864 0.428571 0.909274 0.76 0 0 1.21662 8.36716
82 4.89 1.3896 0.15 1.17375 2.12308 0.909137 0.457143 0.443549 0.78 0 0 1.25548 9.13284
83 4.95 0.678058 0.175 1.52729 2.30769 3.54892 0.571429 1.29858 0.84 0 0 1.15357 9.85373
84 5.01 1.32383 0.225 1.55305 2.5 0 0.571429 1.69022 0.92 0 0 1.29398 10.6821
85 5.07 0.646341 0.25 1.09189 2.63846 0 0.571429 1.65045 1 0 0 1.11783 11.4149
86 5.13 0 0.25 1.185 2.79231 0 0.571429 1.61207 1.08 0 0 0.953964 12.0552
87 5.19 1.2336 0.3 0.984092 2.92308 1.61415 0.628571 1.18126 1.14 0 0 0.93638 12.6985
88 5.25 1.20556 0.35 1.30116 3.1 0.788732 0.657143 3.07844 1.3 0 0 0.813186 13.2701
89 5.31 0 0.35 0.995418 3.23846 1.54202 0.714286 0.752317 1.34 0 0 0.979631 13.9746
90 5.37 0.576142 0.375 1.02737 3.38462 0.753875 0.742857 0.735599 1.38 0 0 0.880746 14.6224
91 5.43 1.12696 0.425 1.37498 3.58462 1.47461 0.8 1.43887 1.46 0 0 0.893147 15.294
92 5.49 1.10246 0.475 0.62081 3.67692 0.721279 0.828571 2.46328 1.6 0 0 0.949454 16.0239
93 5.55 0 0.475 0.860568 3.80769 0.705769 0.857143 2.41031 1.74 0 0 0.88534 16.7194
94 5.61 1.0558 0.525 0.74317 3.92308 0.690753 0.885714 2.35903 1.88 0 0 0.942741 17.4761
95 5.67 1.03358 0.575 1.06704 4.09231 0 0.885714 0.989727 1.94 0 0 0.948379 18.2537
96 5.73 0.506022 0.6 0.664877 4.2 0 0.885714 2.26125 2.08 0 0 0.91258 19.0179
97 5.79 0.495589 0.625 1.1628 4.39231 1.29694 0.942857 0.632752 2.12 0 0 0.914712 19.8
98 5.85 0.485475 0.65 1.00238 4.56154 1.27048 1 0.30992 2.14 0 0 0.921696 20.6045
99 5.91 0.951336 0.7 0.982134 4.73077 0.622406 1.02857 1.51829 2.24 0 0 0.988525 21.4851
100 5.97 0.93231 0.75 1.22499 4.94615 0.609958 1.05714 1.78551 2.36 0 0 0.891583 22.2955
101 6.03 0 0.75 1.11497 5.14615 0.59788 1.08571 1.75016 2.48 0 0 1.04775 23.2672
102 6.09 0 0.75 0.756765 5.28462 0 1.08571 1.42987 2.58 0 0 1.00354 24.2164
103 6.15 0.878535 0.8 0.989428 5.46923 0.574776 1.11429 1.12168 2.66 0 0 0.954653 25.1373
104 6.21 1.29246 0.875 0.889534 5.63846 0.563723 1.14286 0 2.66 0 0 0.92719 26.0493
105 6.27 0.422614 0.9 0.753601 5.78462 0.552986 1.17143 0.80937 2.72 0 0 1.02117 27.0731
106 6.33 0.829281 0.95 0.739383 5.93077 1.08511 1.22857 0.5294 2.76 0 0 1.06909 28.1657
107 6.39 1.22067 1.025 1.33656 6.2 1.06482 1.28571 0.779257 2.82 0 0 1.08351 29.294
108 6.45 1.59742 1.125 1.27433 6.46154 0.522553 1.31429 1.27471 2.92 0 0 1.07329 30.4328
109 6.51 0.784057 1.175 1.21416 6.71538 0.512965 1.34286 1.00106 3 0 0 1.03841 31.5552
110 6.57 1.1547 1.25 0.830846 6.89231 1.00728 1.4 0.245714 3.02 0 0 0.99919 32.6552
111 6.63 0.755932 1.3 1.13513 7.13846 0.494564 1.42857 1.20644 3.12 0 0 0.931928 33.7
112 6.69 1.11365 1.375 1.01034 7.36154 0 1.42857 1.42187 3.24 0 0 0.938823 34.7716
113 6.75 0.364647 1.4 0.855571 7.55385 0 1.42857 0.931138 3.32 0 0 0.929913 35.8522
114 6.81 0.716499 1.45 0.941429 7.76923 1.87506 1.54286 1.82961 3.48 0 0 0.932528 36.9552
115 6.87 1.05606 1.525 1.12328 8.03077 1.38184 1.62857 0.224723 3.5 0 0 0.932429 38.0776
116 6.93 1.3838 1.625 0.714299 8.2 1.81069 1.74286 1.10424 3.6 0 0 0.977281 39.2746
117 6.99 0.680073 1.675 0.829742 8.4 3.11454 1.94286 0.868295 3.68 0 0 0.992914 40.5119
118 7.05 1.00282 1.75 0.941168 8.63077 1.31218 2.02857 0.640184 3.74 0 0 0.952537 41.7194
119 7.11 2.30059 1.925 0.894505 8.85385 1.29013 2.11429 1.46866 3.88 0 0 0.960839 42.9582
120 7.17 1.29271 2.025 1.00092 9.10769 0.422875 2.14286 1.44418 4.02 0 0 0.969869 44.2299
121 7.23 0.635673 2.075 1.07387 9.38462 1.24766 2.22857 0.405803 4.06 0 0 0.933687 45.4746
122 7.29 0.312626 2.1 1.02692 9.65385 0.818135 2.28571 0.997877 4.16 0 0 0.972338 46.7925
123 7.35 0.307543 2.125 1.29886 10 0.804832 2.34286 0.785321 4.24 0 0 0.972778 48.1328
124 7.41 0.605165 2.175 0.795144 10.2154 1.18778 2.42857 1.15898 4.36 0 0 0.982667 49.509
125 7.47 0.893224 2.25 1.17363 10.5385 1.94796 2.57143 1.33051 4.5 0 0 0.931287 50.8343
126 7.53 1.75809 2.4 1.1 10.8462 0.766814 2.62857 0.561169 4.56 0 0 0.978431 52.2493
127 7.59 0.576802 2.45 0.974413 11.1231 0.754739 2.68571 0.368221 4.6 0 0 0.973182 53.6791
128 7.65 0.851684 2.525 1.06576 11.4308 0.742946 2.74286 1.0874 4.72 0 0 0.992975 55.1612
129 7.71 1.39747 2.65 0.970549 11.7154 0.731428 2.8 1.24897 4.86 0 0 1.01991 56.7075
130 7.77 0.550387 2.7 0.748997 11.9385 1.80044 2.94286 0.878396 4.96 0 0 0.955756 58.1791
131 7.83 0.270992 2.725 1.11906 12.2769 0.35459 2.97143 0.172997 4.98 0 0 0.966937 59.691
132 7.89 0.800659 2.8 0.826579 12.5308 0.698436 3.02857 0.681504 5.06 0 0 0.921264 61.1537
133 7.95 0.78862 2.875 1.13488 12.8846 1.71983 3.17143 1.00688 5.18 0 0 0.979633 62.7328
134 8.01 1.29475 3 1.09363 13.2308 0.677666 3.22857 0.661237 5.26 0 0 1.00879 64.3836
135 8.07 0 3 1.07743 13.5769 1.00144 3.31429 0.977162 5.38 0 0 0.99924 66.0433
136 8.13 0.502724 3.05 0.920043 13.8769 1.64452 3.45714 0.481396 5.44 0 0 0.954443 67.6522
137 8.19 0.99077 3.15 0.79038 14.1385 0.972308 3.54286 0.948737 5.56 0 0 0.98326 69.3343
138 8.25 0.488206 3.2 0.756015 14.3923 0.638811 3.6 1.09082 5.7 0 0 1.0077 71.0836
139 8.31 0.481181 3.25 0.858037 14.6846 0.94443 3.68571 0.460767 5.76 0 0 1.06524 72.9597
