# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
17276000 318.421 -1224.16 1.19876 39623.7
17278000 310.4 -355.771 1.20347 39468.8
17280000 309.019 -533.873 1.20581 39391.9
17282000 316.806 -1369.66 1.20227 39508.1
17284000 317.744 -1916.49 1.19327 39806.1
17286000 308.873 -1402.21 1.19842 39634.9
17288000 315.502 -2228.01 1.19545 39733.5
17290000 320.847 486.299 1.19249 39832.1
17292000 311.633 -253.753 1.20895 39289.6
17294000 310.442 2229.81 1.20939 39275.4
17296000 313.119 2515.42 1.20384 39456.7
17298000 315.169 -992.108 1.19625 39706.8
17300000 315.213 1530.81 1.18639 40036.8
17302000 317.186 -860.677 1.20575 39394.1
17304000 311.842 -112.539 1.21182 39196.8
17306000 314.146 -3243.22 1.19762 39661.4
17308000 314.488 1348.52 1.19832 39638.2
17310000 308.6 -518.775 1.20815 39315.9
17312000 313.605 -535.394 1.20808 39317.9
17314000 310.439 960.9 1.20485 39423.4
17316000 317.829 903.116 1.21557 39075.7
17318000 308.76 -2300.67 1.19911 39612.2
17320000 312.16 1928.46 1.20753 39336
17322000 312.296 -755.186 1.20353 39466.8
17324000 316.604 -245.052 1.19349 39798.7
17326000 310.606 1374.86 1.19462 39761
17328000 315.878 -1824.54 1.19319 39808.6
17330000 323.638 -1343.34 1.19651 39698.2
17332000 312.375 2294.06 1.20252 39499.7
17334000 320.681 -780.463 1.19738 39669.3
17336000 315.927 1190.43 1.20231 39506.9
17338000 307.517 1596.24 1.19438 39768.9
17340000 306.855 -171.398 1.20861 39300.8
17342000 313.298 -206.265 1.21219 39184.8
17344000 316.427 -2529.95 1.20103 39548.9
17346000 314.54 2094.84 1.1912 39875
17348000 310.879 -553.42 1.20285 39488.9
17350000 310.073 -718.54 1.20066 39561.1
17352000 315.937 -71.2257 1.20303 39483.2
17354000 317.95 -922.675 1.20672 39362.3
17356000 309.745 -138.855 1.20406 39449.4
17358000 307.335 -72.5275 1.19254 39830.5
17360000 309.822 -219.039 1.21019 39249.5
17362000 316.423 1657.53 1.20958 39269.3
17364000 314.295 608.734 1.21401 39125.9
17366000 311.839 412.144 1.21181 39197.1
17368000 315.36 153.435 1.20555 39400.6
17370000 316.962 -737.888 1.20335 39472.5
17372000 307.057 36.5922 1.20602 39385.2
17374000 307.588 841.523 1.19968 39593.2
17376000 314.541 -664.215 1.20424 39443.4
17378000 307.332 286.337 1.20566 39397
17380000 315.28 -835.739 1.21481 39100.3
17382000 312.921 -663.125 1.21103 39222.2
17384000 317.635 1105.23 1.21399 39126.8
17386000 314.689 -1136.57 1.20798 39321.4
17388000 320.862 -378.077 1.19416 39776.5
17390000 312.189 -1530.83 1.203 39483.9
17392000 314.694 -1971.88 1.18846 39967
17394000 307.224 991.312 1.20388 39455.3
17396000 318.952 427.436 1.20302 39483.3
17398000 310.252 1940.11 1.20029 39573.4
17400000 319.011 -163.807 1.20232 39506.4
17402000 312.075 2650.52 1.20041 39569.1
17404000 311.568 2490.62 1.20227 39508
17406000 307.032 636.631 1.21056 39237.5
17408000 311.742 592.24 1.20669 39363.2
17410000 311.635 -2062.66 1.20416 39446.2
17412000 314.264 -772.288 1.19903 39615
17414000 314.571 -1133.9 1.19627 39706.1
17416000 312.631 1656.39 1.20335 39472.6
17418000 313.449 1549.65 1.19891 39618.8
17420000 311.834 -1205.22 1.20992 39258.4
17422000 308.782 525.614 1.20746 39338.1
17424000 305.19 920.31 1.19965 39594.3
17426000 315.396 2292.81 1.196 39715.2
17428000 311.755 -156.305 1.21071 39232.5
17430000 314.588 -525.267 1.20407 39449.1
17432000 322.973 -47.6986 1.20571 39395.2
17434000 310.584 1323.53 1.20797 39321.6
17436000 313.571 -2503.42 1.1969 39685.2
17438000 317.751 -731.794 1.19413 39777.2
17440000 316.516 240.931 1.21233 39180.3
17442000 319.105 -679.649 1.21209 39188
17444000 312.364 2811.44 1.20166 39527.9
17446000 310.539 1457.17 1.21389 39129.7
17448000 311.521 -1114.95 1.20222 39509.6
17450000 314.51 -41.1439 1.19926 39607.2
17452000 314.322 -345.699 1.19421 39774.6
17454000 311.507 -379.331 1.20569 39396
17456000 313.427 -651.993 1.21225 39182.8
17458000 315.423 2162.37 1.20565 39397.2
17460000 315.297 -1211.49 1.19874 39624.3
17462000 320.291 -1424.56 1.21102 39222.6
17464000 316.286 967.202 1.1974 39668.7
17466000 312.367 491.483 1.19625 39707
17468000 316.405 710.95 1.20198 39517.7
17470000 317.582 -646.495 1.19949 39599.5
17472000 315.932 -24.1083 1.20601 39385.5
17474000 322.085 689.334 1.19835 39637.3
17476000 306.109 -1006.6 1.20408 39448.7
17478000 306.659 1481.16 1.20248 39501.1
17480000 316.566 2958.15 1.19745 39667.1
17482000 308.115 -156.676 1.20366 39462.3
17484000 317.133 1252.76 1.19059 39895.6
17486000 309.654 1951.22 1.20111 39546.2
17488000 314.516 1103.87 1.20172 39526.2
17490000 310.272 1107.74 1.19868 39626.5
17492000 317.518 272.474 1.20014 39578.1
17494000 313.692 -2603.14 1.19643 39700.8
17496000 316.496 -820.889 1.20502 39417.9
17498000 312.328 -1208 1.20258 39497.8
17500000 312.511 -908.058 1.19468 39759
17502000 315.782 -720.168 1.20535 39407.1
17504000 309.179 -567.847 1.20275 39492.2
17506000 313.501 192.102 1.20029 39573.4
17508000 309.31 -2379.51 1.2012 39543.3
17510000 311.361 -434.878 1.20672 39362.3
17512000 309.16 556.626 1.20068 39560.3
17514000 318.649 1362.91 1.22449 38791.2
17516000 312.734 2783.53 1.21061 39235.7
17518000 315.441 -869.755 1.20822 39313.6
17520000 315.518 -311.091 1.21164 39202.4
17522000 308.742 -516.44 1.20181 39523.2
17524000 314.213 -827.557 1.20756 39334.8
17526000 312.139 -888.278 1.21061 39235.8
17528000 307.451 1106.75 1.21394 39128.2
17530000 309.746 1363 1.21276 39166.3
17532000 316.591 -212.164 1.19549 39732.1
17534000 315.411 -2.40798 1.20309 39481.1
17536000 319.116 774.014 1.20222 39509.6
17538000 311.339 -234.774 1.20553 39401.3
17540000 311.556 -154.012 1.20222 39509.7
17542000 308.329 -401.705 1.20247 39501.6
17544000 308.811 -2270.52 1.19972 39592
17546000 325.822 -749.879 1.20354 39466.5
17548000 314.71 -1011.92 1.20664 39365
17550000 314.323 144.471 1.19794 39650.9
17552000 308.731 -219.846 1.19452 39764.4
17554000 313.639 -1159.76 1.2006 39563.2
17556000 313.164 42.3687 1.20013 39578.6
17558000 309.883 1865.87 1.1948 39754.9
17560000 313.374 1212.23 1.20383 39456.8
17562000 308.708 -2103.05 1.19808 39646.1
17564000 307.14 -1606.99 1.19146 39866.4
17566000 307.213 295.608 1.19036 39903.4
17568000 313.412 793.339 1.2083 39310.9
17570000 307.941 876.818 1.20956 39269.9
17572000 310.009 102.552 1.20378 39458.4
17574000 308.499 499.418 1.19849 39632.7
17576000 320.295 -1128.75 1.19576 39723.3
17578000 305.4 221.914 1.1746 40438.8
17580000 318.462 -1507.42 1.18776 39990.6
17582000 306.776 790.602 1.20036 39570.8
17584000 310.705 2122.45 1.20471 39428
17586000 317.331 -905.612 1.21172 39199.8
17588000 315.364 43.9934 1.20799 39321
17590000 317.133 -588.96 1.19642 39701.2
17592000 315.767 -1797.72 1.20372 39460.4
17594000 314.302 154.229 1.2125 39174.6
17596000 308.367 1178.79 1.20772 39329.6
17598000 306.332 464.414 1.19872 39625
17600000 313.621 -1048.4 1.20142 39536.2
17602000 318.404 1730.36 1.19437 39769.5
17604000 316.722 2575.55 1.20868 39298.5
17606000 314.603 -1532.33 1.19003 39914.3
17608000 304.722 -283.768 1.2012 39543.3
17610000 314.727 -1369.34 1.21503 39093.3
17612000 312.449 1825.99 1.20498 39419.3
17614000 320.56 1316.28 1.21115 39218.5
17616000 306.587 -999.919 1.20659 39366.5
17618000 312.605 1997.23 1.19684 39687.2
17620000 312.485 1579.23 1.19316 39809.7
17622000 314.396 76.9125 1.21136 39211.4
17624000 313.686 588.385 1.20763 39332.8
17626000 314.431 -3237.02 1.20743 39339.3
17628000 312.016 31.0088 1.19929 39606.3
17630000 321.784 922.817 1.20387 39455.6
17632000 313.977 155.453 1.19059 39895.8
17634000 318.628 -926.117 1.19641 39701.5
17636000 313.327 1759.97 1.19002 39914.6
17638000 311.447 1220.3 1.20471 39428.2
17640000 304.489 -687.961 1.20036 39571
17642000 316.305 841.099 1.20585 39390.8
17644000 312.095 -1107.18 1.20651 39369.4
17646000 313.515 -842.959 1.19737 39669.6
17648000 307.644 -1114.5 1.19651 39698.4
17650000 316.442 1294.07 1.19658 39696.1
17652000 314.076 2905.96 1.18957 39930
17654000 317.607 115.418 1.19575 39723.6
17656000 313.643 990.296 1.19476 39756.5
17658000 317.847 -2412.24 1.20203 39515.9
17660000 312.009 -666.601 1.19659 39695.5
17662000 313.991 1088.01 1.19573 39724.2
17664000 309.933 -406.389 1.19733 39671.1
17666000 320.295 2746.68 1.20459 39432
17668000 310.569 1208.73 1.19807 39646.7
17670000 318.786 -845.569 1.20993 39257.9
17672000 321.057 280.167 1.2088 39294.5
17674000 315.877 696.745 1.19974 39591.3
17676000 317.536 82.6652 1.20909 39285.1
17678000 315.501 1415.53 1.2089 39291.4
17680000 312.403 -67.8756 1.20102 39549.3
17682000 311.64 309.396 1.20189 39520.6
17684000 306.503 -9.6432 1.20236 39505.1
17686000 310.078 -428.455 1.20048 39567
17688000 315.464 -794.407 1.21085 39228.2
17690000 318.459 320.604 1.20031 39572.6
17692000 309.209 1097.38 1.19892 39618.6
17694000 313.38 -1466.47 1.20316 39478.9
17696000 318.436 1059.39 1.20136 39537.8
17698000 312.891 -810.324 1.19611 39711.6
17700000 305.933 -1757.87 1.19316 39809.8
17702000 308.219 2135.31 1.20399 39451.7
17704000 316.598 733.647 1.20453 39433.8
17706000 304.453 -82.2896 1.20817 39315.1
17708000 312.993 3055.43 1.21416 39121.1
17710000 322.641 1769.43 1.20113 39545.6
17712000 313.805 708.753 1.21162 39203.3
17714000 308.491 -1237.31 1.20102 39549.1
17716000 312.208 -669.464 1.21285 39163.3
17718000 317.751 2153.55 1.20179 39523.8
17720000 310.622 592.993 1.20326 39475.7
17722000 309.185 979.599 1.20331 39473.9
17724000 315.19 -128.673 1.20818 39314.9
17726000 311.412 371.341 1.20165 39528.6
17728000 315.999 706.089 1.20467 39429.5
17730000 313.943 -575.896 1.20664 39365.1
17732000 316.162 -177.726 1.20182 39522.8
17734000 318.449 -542.994 1.21527 39085.6
17736000 310.8 -1564.45 1.1927 39825.1
17738000 307.322 1175.84 1.20578 39393
17740000 309.928 2060.97 1.20418 39445.2
17742000 306.783 200.957 1.1977 39658.8
17744000 312.316 952.634 1.20412 39447.3
17746000 308.064 -989.885 1.20797 39321.8
17748000 307.043 -92.0516 1.20385 39456.1
17750000 319.628 -762.497 1.20028 39573.6
17752000 314.29 1539.26 1.20971 39265.2
17754000 312.972 1018.07 1.20529 39409
17756000 311.715 -615.658 1.2014 39536.7
17758000 313.789 1424.55 1.19357 39796
17760000 315.006 3477.4 1.21177 39198.2
17762000 310.03 -1068.2 1.20652 39368.9
17764000 308.077 270.764 1.20204 39515.5
17766000 312.944 -57.7409 1.20414 39446.8
17768000 310.865 -503.603 1.2014 39536.7
17770000 319.066 -1229.77 1.20509 39415.6
17772000 309.429 1372.84 1.20445 39436.6
17774000 320.759 -189.484 1.20506 39416.6
17776000 308.426 1219.05 1.20789 39324.1
17778000 311.978 -1112.34 1.21048 39240.1
17780000 321.237 -367.911 1.20149 39533.6
17782000 310.822 -721.532 1.21722 39022.8
17784000 316.198 -587.487 1.20345 39469.3
17786000 310.928 -615.001 1.19758 39662.7
17788000 313.135 -133.138 1.19948 39599.9
17790000 314.964 1370.05 1.19443 39767.4
17792000 312.498 772.784 1.1977 39658.9
17794000 316.244 105.35 1.20887 39292.2
17796000 314.648 -1547.67 1.19895 39617.5
17798000 312.925 399.015 1.21157 39204.7
17800000 319.284 1329.23 1.20198 39517.6
17802000 316.411 -42.6779 1.20045 39568
17804000 313.465 1047.18 1.20836 39308.8
17806000 318.915 -939.589 1.20686 39357.9
17808000 313.193 -1663 1.20429 39441.9
17810000 310.343 -225.334 1.20954 39270.5
17812000 310.168 1525.19 1.20087 39554.1
17814000 311.88 781.132 1.20154 39531.9
17816000 315.798 1792.24 1.21255 39172.9
17818000 314.881 -22.7398 1.20515 39413.8
17820000 319.099 -681.449 1.19324 39807.2
17822000 313.313 1751.93 1.20941 39274.8
17824000 310.658 -1762.49 1.21162 39203.3
17826000 313.155 -342.28 1.20865 39299.5
17828000 315.179 2381.57 1.20828 39311.6
17830000 314.436 1865.27 1.21466 39105.2
17832000 312.378 -1864.75 1.21134 39212.3
17834000 306.948 -9.25918 1.21468 39104.6
17836000 314.529 924.886 1.20304 39482.7
17838000 313.964 -1297.05 1.20275 39492.4
17840000 317.58 1326.7 1.20916 39283
17842000 321.916 1838.04 1.20066 39561.1
17844000 306.018 -379.475 1.20295 39485.6
