# Time-averaged data for fix stats
# TimeStep v_n_ch4 v_loading_mg_g v_loading_mmol_g v_density_molec_A3
100000 1.72 0.606347 0.0378022 4.33806e-05
150000 1.62 0.571095 0.0356044 4.08585e-05
