# Time-averaged data for fix avg_qst
# TimeStep v_U_ch4 v_Nmol_ch4 v_UN_ch4 v_N2_ch4 v_U_co2 v_Nmol_co2 v_UN_co2 v_N2_co2
220000 -65.3361 29 -1901.63 844.2 -77.1967 12.6667 -977.825 160.444
230000 -69.9585 31 -2169.63 961.4 -77.1562 12.6667 -977.312 160.444
240000 -72.5828 32.4 -2352.41 1050.4 -76.9734 12.6667 -974.997 160.444
250000 -74.05 33.2 -2459.83 1102.8 -83.0504 13.7333 -1141.44 188.711
260000 -76.6261 34 -2605.29 1156 -86.304 14 -1208.26 196
270000 -74.9476 33 -2475.58 1090.2 -90.0788 14.6667 -1321.16 215.111
280000 -71.6486 31.2 -2235.81 973.6 -89.309 14.6667 -1309.87 215.111
290000 -70.9202 30.8 -2184.72 948.8 -89.334 14.6667 -1310.23 215.111
300000 -67.5448 29 -1958.8 841 -88.9165 14.6667 -1304.11 215.111
310000 -71.4237 30.4 -2171.91 924.4 -96.1536 15.8667 -1526.17 251.822
320000 -72.4491 30.6 -2217.29 936.6 -97.9259 16.1333 -1580.25 260.356
330000 -75.5606 32 -2418.81 1024.4 -101.705 16.6667 -1695.09 277.778
340000 -73.8522 31.8 -2350.29 1012.6 -101.893 16.6667 -1698.21 277.778
350000 -78.9171 34.2 -2699.02 1169.8 -103.772 17.0667 -1771.67 291.378
360000 -78.2924 33.8 -2646.86 1142.6 -106.873 17.3333 -1852.47 300.444
370000 -77.218 33 -2548.2 1089 -106.112 17.3333 -1839.28 300.444
380000 -80.1668 34.4 -2758.15 1183.6 -110.325 18 -1985.84 324
390000 -80.7915 35 -2827.7 1225 -110.437 18 -1987.87 324
400000 -80.0855 34.4 -2755.25 1183.6 -116.861 18.9333 -2214.15 358.756
410000 -78.6436 33.4 -2627.13 1115.8 -118.568 19.3333 -2292.32 373.778
420000 -72.1549 30.8 -2222.87 948.8 -118.55 19.3333 -2291.97 373.778
430000 -72.6186 31 -2251.18 961 -118.96 19.6 -2333.54 384.444
440000 -73.2884 32.2 -2360.16 1037 -126.135 20.6667 -2606.78 427.111
450000 -76.9362 33.8 -2603.07 1143.4 -126.194 20.6667 -2608.02 427.111
460000 -81.5007 35 -2853.29 1225.4 -127.53 20.9333 -2670.17 438.311
470000 -83.2639 36 -2997.5 1296 -132.72 21.7333 -2885.04 472.444
480000 -88.009 37 -3257.26 1369.4 -137.799 22.6667 -3123.44 513.778
490000 -85.3921 35.8 -3057.35 1281.8 -139.141 22.6667 -3153.85 513.778
500000 -82.9676 35.4 -2937.53 1253.4 -139.466 22.6667 -3161.22 513.778
510000 -84.0551 35.8 -3009.72 1281.8 -138.378 22.8 -3155.36 519.911
520000 -85.2014 36 -3067.25 1296 -141.331 23.3333 -3297.73 544.444
530000 -86.759 36.4 -3159.61 1325.6 -142.804 23.3333 -3332.09 544.444
540000 -81.6925 34.4 -2810.51 1183.6 -141.607 23.3333 -3304.16 544.444
550000 -81.659 34.6 -2825.86 1197.4 -142.353 23.3333 -3321.58 544.444
560000 -84.3264 35.4 -2985.62 1253.4 -150.211 24.4 -3665.76 595.467
570000 -88.2801 37.2 -3284.69 1384.4 -153.412 24.6667 -3784.16 608.444
580000 -84.7346 36 -3050.45 1296 -153.083 24.6667 -3776.04 608.444
590000 -86.6303 37.4 -3240.7 1399.4 -153.427 24.6667 -3784.53 608.444
600000 -86.982 37.6 -3272.04 1414.8 -150.66 24.6667 -3716.27 608.444
610000 -82.9412 34.6 -2870.36 1197.4 -152.955 24.6667 -3772.89 608.444
620000 -80.9505 33.8 -2736.51 1142.6 -153.456 24.6667 -3785.26 608.444
630000 -80.5159 33 -2657.03 1089 -155.946 25.0667 -3909.78 628.444
640000 -82.3463 34.2 -2817.53 1170.2 -160.193 25.7333 -4123.34 662.311
650000 -82.0991 33.6 -2759.07 1129.2 -163.621 26 -4254.16 676
660000 -78.5185 32 -2512.59 1024 -160.803 26 -4180.88 676
670000 -78.484 32 -2511.49 1024 -161.236 26 -4192.14 676
680000 -77.8243 31.8 -2475.05 1011.4 -161.447 26 -4197.61 676
690000 -80.0759 32.4 -2596.06 1050.4 -169.17 26.9333 -4558.33 725.689
700000 -82.5623 33.8 -2791.83 1143.4 -171.583 27.3333 -4689.94 747.111
710000 -91.1112 37.6 -3430.12 1415.6 -169.241 27.3333 -4625.92 747.111
720000 -95.857 39.8 -3815.44 1584.2 -171.572 27.4667 -4712.94 754.489
730000 -98.0565 40.8 -4000.97 1664.8 -171.913 27.3333 -4698.95 747.111
740000 -99.5299 41.2 -4103.55 1698.8 -176.787 28.1333 -4975.15 791.733
750000 -104.466 43.2 -4512.86 1866.4 -174.875 28 -4896.49 784
760000 -111.314 46.2 -5150.03 2138.2 -170.298 27.4667 -4678.07 754.489
770000 -116.424 49 -5704.79 2401 -169.571 27.3333 -4634.93 747.111
780000 -119.883 49.6 -5947.6 2460.8 -169.517 27.3333 -4633.47 747.111
790000 -121.692 50.2 -6109.3 2520.2 -167.712 27.3333 -4584.13 747.111
800000 -119.472 50 -5974.58 2500.4 -168.114 27.3333 -4595.11 747.111
810000 -115.89 49 -5679.63 2401.4 -166.798 27.3333 -4559.14 747.111
820000 -115.54 49 -5662.58 2401.4 -168.676 27.4667 -4633.62 754.489
830000 -116.43 49 -5705.06 2401 -171.165 27.3333 -4678.51 747.111
840000 -117.007 48.8 -5710.36 2381.6 -169.471 27.3333 -4632.22 747.111
850000 -111.39 47 -5235.34 2209 -170.795 27.3333 -4668.4 747.111
860000 -112.305 47 -5278.34 2209 -176.207 28 -4933.79 784
870000 -113.473 47.4 -5379.19 2247 -176.606 28.1333 -4968.95 791.556
880000 -112.864 47.2 -5327.45 2228 -179.557 28.6667 -5147.3 821.778
890000 -113.205 47.8 -5411.41 2285 -179.435 28.6667 -5143.81 821.778
900000 -114.251 48.6 -5553.14 2362.2 -179.628 28.6667 -5149.32 821.778
910000 -114.715 48 -5506.3 2304 -177.527 28.6667 -5089.1 821.778
920000 -112.09 47 -5272.84 2211.4 -181.568 29.2 -5302.24 852.711
930000 -112.602 46.8 -5271.09 2190.8 -185.107 29.3333 -5429.82 860.444
940000 -116.57 48 -5595.34 2304 -185.812 29.3333 -5450.48 860.444
950000 -117.708 49 -5767.68 2401 -184.694 29.3333 -5417.69 860.444
960000 -119.259 49.8 -5939.33 2480.2 -183.557 29.3333 -5384.33 860.444
970000 -119.326 49.6 -5919.09 2460.4 -184.129 29.4667 -5425.84 868.356
980000 -116.403 48.2 -5611.1 2323.4 -187.729 30 -5631.87 900
990000 -122.665 50.6 -6207.69 2560.6 -194.437 31.0667 -6041.41 965.244
1000000 -125.61 52 -6532.29 2704.4 -194.217 31.3333 -6085.45 981.778
1010000 -130.345 54 -7038.64 2916 -195.074 31.3333 -6112.32 981.778
