# Time-averaged data for fix avg_out
# TimeStep v_n_ch4 v_n_co2 v_selectivity v_strain c_TempCO2
215000 27.6 12.6667 0.459066 4.28503e-18 314.632
220000 30.4 12.6667 0.417685 8.02535e-17 320.556
225000 31.4 12.6667 0.403482 -2.1552e-17 326.245
230000 30.6 12.6667 0.414037 1.41392e-16 328.919
235000 31.8 12.6667 0.398529 3.3031e-17 327.507
240000 33 12.6667 0.383827 2.14223e-16 319.416
245000 32.6 13.4667 0.413119 5.76082e-17 323.289
250000 33.8 14 0.414248 1.59761e-16 316.917
255000 34 14 0.411753 5.12524e-17 314.873
260000 34 14 0.411753 -5.40818e-17 326.844
265000 33.8 14.6667 0.434273 3.22443e-17 322.685
270000 32.2 14.6667 0.455541 -2.2792e-16 313.882
275000 31.4 14.6667 0.467189 2.49158e-16 327.526
280000 31 14.6667 0.473103 -1.2727e-16 315.664
285000 31 14.6667 0.473103 7.23258e-17 317.93
290000 30.6 14.6667 0.479411 1.34229e-16 318.876
295000 29 14.6667 0.50573 5.38645e-17 327.366
300000 29 14.6667 0.50573 -1.16227e-16 320.738
305000 30.6 15.7333 0.514105 -2.54902e-17 320.887
310000 30.2 16 0.529875 1.19633e-16 318.627
315000 30.2 16 0.529875 6.56241e-17 314.83
320000 31 16.2667 0.524714 -7.71773e-18 320.907
325000 31.8 16.6667 0.524381 3.19108e-16 320.574
330000 32.2 16.6667 0.517661 1.4108e-16 321.49
335000 31 16.6667 0.537617 -1.76614e-16 321.047
340000 32.6 16.6667 0.511923 9.00499e-17 321.318
345000 34.4 16.8 0.488501 1.80123e-17 323.686
350000 34 17.3333 0.509789 -3.18935e-18 318.535
355000 34 17.3333 0.509789 8.64745e-17 323.4
360000 33.6 17.3333 0.515968 9.66627e-17 323.405
365000 33 17.3333 0.525237 -1.36606e-16 321.528
370000 33 17.3333 0.525237 -5.42382e-17 320.416
375000 34 18 0.529396 1.43693e-17 317.496
380000 34.8 18 0.517296 5.04338e-17 311.542
385000 35 18 0.514271 -3.98334e-17 315.77
390000 35 18 0.514271 5.04917e-17 327.334
395000 34.8 18.5333 0.532758 -1.4341e-16 315.571
400000 34 19.3333 0.568611 5.67674e-17 324.358
405000 33.8 19.3333 0.572057 -3.03009e-18 320.153
410000 33 19.3333 0.585841 -7.87299e-17 323.617
415000 31 19.3333 0.623636 -9.30201e-17 324.21
420000 30.6 19.3333 0.631951 3.89933e-18 322.09
425000 31 19.3333 0.623636 -2.52147e-17 323.522
430000 31 19.8667 0.64084 -1.61991e-16 318.27
435000 32.4 20.6667 0.637985 -1.4019e-16 316.181
440000 32 20.6667 0.645813 1.33417e-16 320.011
445000 33 20.6667 0.626244 3.51234e-17 320.819
450000 34.6 20.6667 0.597616 1.09783e-17 320.14
455000 34.6 20.6667 0.597406 -9.37185e-17 320.742
460000 35.4 21.2 0.598925 -1.35445e-16 321.229
465000 36 21.4667 0.59628 4.97766e-17 315.029
470000 36 22 0.611094 -2.32041e-16 314.437
475000 36.8 22.6667 0.616178 2.81099e-17 318.501
480000 37.2 22.6667 0.609372 -8.94914e-17 322.624
485000 36 22.6667 0.629612 -2.87602e-17 320.16
490000 35.6 22.6667 0.636808 -1.21412e-16 318.092
495000 35 22.6667 0.647601 -1.54377e-16 316.315
500000 35.8 22.6667 0.63321 -1.17778e-16 319.524
505000 35.6 22.6667 0.636808 6.67363e-18 317.862
510000 36 22.9333 0.637019 -9.96473e-17 319.045
515000 36 23.3333 0.64813 6.08365e-17 321.02
520000 36 23.3333 0.64813 -3.93624e-17 318.013
525000 37 23.3333 0.630614 1.4445e-17 314.799
530000 35.8 23.3333 0.652034 1.4229e-16 319.162
535000 34.6 23.3333 0.67449 -3.88714e-17 321.237
540000 34.2 23.3333 0.682333 9.35294e-17 320.447
545000 34.2 23.3333 0.682333 -5.67531e-17 316.578
550000 35 23.3333 0.666648 -2.2457e-16 316.38
555000 35.2 24.1333 0.685589 -6.32156e-17 320.838
560000 35.6 24.6667 0.692996 -1.41962e-17 317.518
565000 36.8 24.6667 0.670547 2.79547e-16 318.564
570000 37.6 24.6667 0.656123 4.92768e-17 320.549
575000 36 24.6667 0.685166 9.15911e-17 322.952
580000 36 24.6667 0.685166 5.36608e-17 318.392
585000 36.8 24.6667 0.670547 -1.62512e-16 310.923
590000 38 24.6667 0.649106 6.63338e-17 319.521
595000 38.4 24.6667 0.642448 -3.81543e-17 316.078
600000 36.8 24.6667 0.670547 6.63698e-17 310.44
605000 35 24.6667 0.704742 4.88e-17 321.118
610000 34.2 24.6667 0.721323 8.18877e-17 316.106
615000 34 24.6667 0.725469 -2.7566e-17 318.24
620000 33.6 24.6667 0.734262 -1.99476e-16 314.975
625000 33 24.8 0.751492 4.6398e-17 313.388
630000 33 25.3333 0.767654 -7.40694e-17 320.827
635000 33.8 25.4667 0.753659 1.03055e-16 317.273
640000 34.6 26 0.751575 -1.7217e-17 318.107
645000 34 26 0.764683 -3.1893e-17 319.295
650000 33.2 26 0.783221 1.29225e-16 316.414
655000 32 26 0.812475 -2.46258e-17 314.852
660000 32 26 0.812475 -2.17437e-16 314.205
665000 32 26 0.812475 1.07502e-16 315.318
670000 32 26 0.812475 -1.84818e-16 319.754
675000 32 26 0.812475 -1.3921e-16 314.333
680000 31.6 26 0.822958 1.81826e-17 317.426
685000 31.8 26.5333 0.834448 -1.03457e-16 318.479
690000 33 27.3333 0.828258 7.43771e-17 318.719
695000 33 27.3333 0.828258 -3.52749e-18 319.897
700000 34.6 27.3333 0.790396 -5.64062e-17 317.883
705000 36.8 27.3333 0.74394 9.82373e-17 316.03
710000 38.4 27.3333 0.711902 1.27241e-16 313.534
715000 39.6 27.4667 0.693658 -4.6506e-17 316.158
720000 40 27.4667 0.68665 -3.82495e-19 318.23
725000 40.6 27.3333 0.673317 -5.59313e-17 321.571
730000 41 27.3333 0.66665 -1.15922e-16 314.655
735000 40.4 28.1333 0.696649 -3.17395e-17 317.169
740000 42 28.1333 0.670449 -5.6407e-17 313.272
745000 43.4 28 0.645228 -1.16785e-16 323.086
750000 43 28 0.651148 4.158e-17 315.757
755000 44.6 27.6 0.619328 -6.80296e-18 318.966
760000 47.8 27.3333 0.572053 4.99279e-19 312.783
765000 49 27.3333 0.557812 3.07688e-16 314.672
770000 49 27.3333 0.557812 -3.13209e-17 318.011
775000 49 27.3333 0.557812 -2.48397e-17 317.812
780000 50.2 27.3333 0.5446 1.81926e-16 317.68
785000 50 27.3333 0.546656 -8.71495e-17 323.605
790000 50.4 27.3333 0.542368 -2.24815e-22 319.838
795000 50.2 27.3333 0.544512 -4.2001e-17 317.205
800000 49.8 27.3333 0.548974 7.3256e-17 319.767
805000 49 27.3333 0.557812 3.56097e-17 317.736
810000 49 27.3333 0.557998 6.91412e-17 323.356
815000 48.6 27.3333 0.56246 -1.22594e-16 318.027
820000 49.4 27.6 0.558791 1.84797e-16 315.214
825000 49 27.3333 0.557812 1.79968e-17 316.558
830000 49 27.3333 0.557812 4.80439e-17 319.533
835000 49 27.3333 0.557812 -2.0642e-17 319.878
840000 48.6 27.3333 0.56246 -2.52207e-17 318.406
845000 47 27.3333 0.581548 1.23183e-16 320.135
850000 47 27.3333 0.581548 1.39854e-17 320.18
855000 47 28 0.595732 3.84384e-17 317.66
860000 47 28 0.595732 7.73891e-17 317.558
865000 47.6 28 0.588286 -4.2683e-19 319.971
870000 47.2 28.2667 0.598923 -2.06719e-17 317.39
875000 47 28.6667 0.609916 1.85545e-16 321.586
880000 47.4 28.6667 0.604834 -9.76662e-17 319.858
885000 47.6 28.6667 0.602292 -5.92359e-17 317.608
890000 48 28.6667 0.59721 -1.8088e-17 321.438
895000 48.4 28.6667 0.592335 1.7668e-17 318.213
900000 48.8 28.6667 0.58746 6.71173e-17 313.023
905000 48 28.6667 0.59721 7.30915e-17 313.823
910000 48 28.6667 0.59721 3.83458e-17 319.323
915000 48 29.0667 0.605543 8.40473e-17 318.508
920000 46 29.3333 0.63852 9.47622e-17 315.842
925000 46.2 29.3333 0.634954 3.17452e-17 314.498
930000 47.4 29.3333 0.618899 -1.77653e-16 315.037
935000 48 29.3333 0.611098 7.37215e-17 316.445
940000 48 29.3333 0.611098 -5.63527e-17 314.274
945000 49 29.3333 0.598627 -1.08442e-16 316.398
950000 49 29.3333 0.598627 2.51606e-17 312.12
955000 49.6 29.3333 0.591444 1.4989e-16 319.58
960000 50 29.3333 0.586655 1.21852e-16 313.746
965000 49.8 29.3333 0.589049 7.34178e-17 313.12
970000 49.4 29.6 0.59928 -8.05358e-17 323.457
975000 48 30 0.624987 -4.86648e-17 315.164
980000 48.4 30 0.619885 5.23372e-17 317.856
985000 50.2 30.8 0.61353 7.34779e-17 317.913
990000 51 31.3333 0.614367 -3.08052e-17 321.024
995000 51.6 31.3333 0.607278 -8.70782e-17 316.866
1000000 52.4 31.3333 0.598005 1.13878e-17 314.608
1005000 54 31.3333 0.580236 1.80582e-16 315.18
1010000 54 31.3333 0.580236 -3.1506e-18 316.931
1015000 54 31.3333 0.580236 -1.52842e-16 318.684
1020000 54 31.3333 0.580236 2.7662e-17 316.07
1025000 54 31.3333 0.580236 4.59094e-17 316.647
1030000 54.4 31.3333 0.576016 3.8216e-17 318.815
1035000 54.4 31.3333 0.576016 8.32605e-17 312.065
1040000 54.8 31.3333 0.571797 7.24735e-17 317.94
1045000 54.4 31.3333 0.576016 1.25041e-16 313.989
1050000 54 31.3333 0.580236 2.89141e-17 316.211
1055000 54.6 31.3333 0.573906 -2.00169e-16 321.346
1060000 54.6 31.3333 0.573906 4.57214e-17 319.831
1065000 52.8 31.3333 0.593458 -3.5043e-17 314.79
1070000 52 31.3333 0.602553 -4.19584e-17 314.553
1075000 51 31.3333 0.614367 -7.6245e-17 319.306
1080000 50.2 31.3333 0.624197 -5.96232e-17 310.589
1085000 50 31.3333 0.626654 -7.04103e-18 315.713
1090000 51.2 31.3333 0.612099 3.1152e-17 320.085
1095000 49 31.3333 0.639443 2.08218e-17 319.897
1100000 49 31.3333 0.639443 -5.21585e-17 318.455
1105000 47.4 31.4667 0.663934 1.15179e-16 316.006
1110000 48.2 32 0.664048 -1.33707e-17 314.301
1115000 49 32 0.653048 -4.5677e-17 318.388
1120000 49.8 32 0.642599 7.99877e-17 318.385
1125000 49 32 0.653048 1.58373e-16 313.807
1130000 49 32.2667 0.65849 5.25047e-17 320.802
1135000 49.4 32.6667 0.661425 2.0956e-17 315.099
1140000 51.4 32.6667 0.635583 -9.37604e-17 320.128
1145000 50.8 32.6667 0.643072 -4.39589e-17 316.3
1150000 49.6 32.6667 0.658653 -4.87724e-17 312.067
1155000 49 32.6667 0.666653 -2.10896e-17 313.131
1160000 49.4 32.6667 0.66132 4.19217e-17 315.958
1165000 51 32.6667 0.64051 2.15264e-16 318.075
1170000 51 32.9333 0.645739 -1.71821e-17 317.139
1175000 50 33.3333 0.666653 -7.61726e-17 316.547
1180000 50 33.3333 0.666653 -7.63359e-17 319.441
1185000 49.4 33.3333 0.674816 9.38774e-17 316.232
1190000 48.2 33.3333 0.691596 -1.59603e-16 317.582
1195000 50.8 33.3333 0.656196 -1.8027e-16 319.374
1200000 50 33.6 0.671987 1.35388e-17 317.928
1205000 51.4 34.6667 0.674595 1.27442e-16 318.455
1210000 51.8 34.6667 0.669367 4.77718e-17 316.581
1215000 49.2 34.2667 0.69653 1.44439e-17 323.46
1220000 49.2 34 0.691088 -1.28265e-16 315.992
1225000 48.8 34 0.69687 1.06495e-17 317.567
1230000 50 34.5333 0.690653 3.41609e-18 317.848
1235000 50.4 34.6667 0.687882 -1.04389e-16 317.131
1240000 49.6 34.6667 0.698979 -1.04469e-17 315.025
1245000 49.8 34.6667 0.69626 -7.94346e-17 311.34
1250000 51 35.2 0.690183 -1.52417e-16 313.831
1255000 50.8 35.3333 0.695568 7.6104e-17 315.964
1260000 50.4 35.3333 0.70111 -6.88008e-18 319.709
1265000 51.6 35.3333 0.684803 -8.35488e-17 314.79
1270000 52 35.3333 0.679474 -1.76872e-16 317.252
1275000 52 35.3333 0.679474 -1.10122e-16 318.864
1280000 52 35.3333 0.679474 2.05938e-17 322.908
1285000 50.8 35.3333 0.695781 1.31287e-16 319.679
1290000 52 35.3333 0.679782 -1.79029e-16 320.991
1295000 52 35.4667 0.682038 -1.1028e-16 314.617
1300000 52 36 0.692294 3.1723e-17 314.203
1305000 52 36 0.692294 -8.30051e-17 318.807
1310000 50 36.5333 0.7311 1.69943e-17 315.404
1315000 49 36.6667 0.748284 -3.30302e-18 317.504
1320000 49 36.6667 0.748284 1.3116e-16 317.882
1325000 49 36.8 0.751005 2.18334e-16 316.873
1330000 48.6 37.3333 0.768238 6.21905e-17 318.35
1335000 47.8 37.3333 0.781071 1.44629e-16 314.943
1340000 47.4 37.3333 0.78769 1.59059e-16 312.978
1345000 47.8 37.4667 0.783908 -1.39583e-17 313.435
1350000 47.4 38 0.801756 -2.07535e-17 320.588
1355000 45.8 38 0.830053 -2.73567e-17 317.788
1360000 44.2 38.2667 0.865839 -4.56403e-17 314.373
1365000 44 38.8 0.881798 -3.80119e-18 317.587
1370000 43.6 39.3333 0.902234 6.69252e-18 315.577
1375000 44 39.4667 0.896949 1.03917e-16 317.548
1380000 43.6 40 0.917527 2.14493e-16 314.25
1385000 43.4 40 0.921755 1.70585e-16 316.199
1390000 42.6 40 0.93907 3.45405e-17 318.61
1395000 43 40 0.930211 2.24624e-16 312.362
1400000 43.8 40 0.913298 -2.15271e-17 316.185
1405000 44.4 40.1333 0.904064 1.04579e-17 321.289
1410000 46.4 40.4 0.870842 -2.17535e-16 316.188
1415000 47.6 40 0.840408 -5.12649e-17 319.919
1420000 46.4 40 0.8623 -7.6397e-17 315.196
1425000 46 40 0.869546 -2.75446e-17 312.466
1430000 46.8 40 0.854746 1.41239e-16 313.718
1435000 45 39.6 0.87998 6.89983e-17 317.486
1440000 44.2 39.8667 0.902067 -5.19367e-17 320.96
1445000 43 40 0.930211 -1.40739e-17 313.986
1450000 43 40 0.930211 1.21353e-16 314.505
1455000 42.8 40 0.934842 -1.55874e-16 309.877
1460000 44 40 0.90907 -3.21257e-17 318.871
1465000 44.2 40 0.90503 3.79466e-17 313.029
1470000 44.6 40 0.89695 -5.89774e-17 316.745
1475000 42 40 0.952358 -1.24584e-16 316.251
1480000 42 40.5333 0.965056 -3.79773e-18 316.975
1485000 41.2 40.6667 0.987359 1.35064e-16 318.329
1490000 42 40.6667 0.968906 8.62556e-17 312.787
1495000 44.2 40.6667 0.920114 5.18318e-17 318.834
1500000 45 40.6667 0.903684 -5.26477e-17 316.433
1505000 45 40.6667 0.903684 1.75228e-17 309.04
1510000 44.6 40.6667 0.911899 -6.55066e-17 320.628
1515000 45.4 40.6667 0.895826 -1.24316e-16 317.514
1520000 45 40.9333 0.909609 1.47594e-16 316.848
1525000 44.2 41.3333 0.935198 -3.88521e-18 320.311
1530000 45 41.3333 0.918498 1.8968e-16 318.59
1535000 45.6 41.3333 0.906518 -4.48218e-17 314.234
1540000 46 41.3333 0.898531 3.04999e-17 312.564
1545000 44 41.3333 0.939373 -1.99889e-16 314.871
1550000 44 41.3333 0.939373 -3.81907e-17 315.847
1555000 44.6 41.3333 0.926848 1.25091e-16 318.973
1560000 45 41.3333 0.918498 -4.81602e-17 314.263
1565000 46.6 41.4667 0.889898 3.78743e-17 315.607
1570000 47 42 0.893598 -5.14924e-17 319.387
1575000 47.2 42 0.889875 4.47548e-17 311.03
1580000 47.6 41.7333 0.876755 -1.04535e-17 316.061
1585000 47 41.3333 0.879414 4.12412e-17 314.627
1590000 47 41.3333 0.879414 1.65168e-16 317.546
1595000 47.2 41.3333 0.875909 -4.82337e-17 312.996
1600000 46 41.3333 0.898531 2.77072e-17 310.827
1605000 45.8 41.3333 0.902525 3.79378e-19 315.753
1610000 45.4 41.8667 0.922234 1.96672e-16 316.018
1615000 45.4 42.6667 0.939883 -3.83685e-18 316.84
1620000 44.6 42.6667 0.956746 1.20219e-16 318.539
1625000 46.6 42.6667 0.915676 1.57958e-16 315.287
1630000 47 43.2 0.919129 -1.30917e-16 314.864
1635000 47 43.3333 0.921966 8.5567e-17 316.469
1640000 47 43.3333 0.921966 1.16658e-16 314.843
1645000 47 44 0.93615 1.75313e-16 315.563
1650000 47 44.2667 0.941824 1.27135e-16 317.49
1655000 47 44.6667 0.950334 1.03235e-16 317.95
1660000 47 44.6667 0.950334 -2.36695e-16 318.888
1665000 47.2 44.6667 0.946375 -1.03104e-16 316.543
1670000 48 44.6667 0.930536 -1.70433e-17 315.36
1675000 48 44.6667 0.930536 -3.79309e-17 315.397
1680000 48.4 44.6667 0.92294 -6.5875e-17 316.443
1685000 49.2 44.6667 0.9079 -1.80599e-16 318.642
1690000 47.6 44.9333 0.944604 1.04092e-16 315.034
1695000 46.2 45.4667 0.984442 -6.59389e-18 317.109
1700000 45.8 46 1.00442 1.09357e-16 313.31
1705000 44.8 46 1.02725 1.02471e-16 318.735
1710000 44 46 1.04543 -4.08763e-17 316.395
