Pressure_bar,mu_input_kJ_mol
0.5,-1.8070761554866264
4.21875,3.727304796360663
7.9375,5.354891044044175
11.65625,6.337416427366295
15.375,7.040605922463079
19.09375,7.586989732978434
22.8125,8.032837204900295
26.53125,8.408711404196872
30.25,8.733077934799354
33.96875,9.017952121147268
37.6875,9.271592775558466
41.40625,9.499921758724868
45.125,9.707330489842926
48.84375,9.89716599751651
52.5625,10.072038121344765
56.28125,10.234021449617352
60.0,10.384792512260043
80,11.052
90,11.320
100,11.557
