# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
186000 316.247 -711.961 1.19571
187000 311.542 -1240.25 1.20542
188000 325.479 -231.6 1.1932
189000 314.999 -626.975 1.21196
190000 310.93 1340.15 1.19939
191000 304.053 -163.398 1.21417
192000 314.16 -60.5057 1.20022
193000 315.268 -816.165 1.2117
194000 322.007 689.521 1.20399
195000 316.284 2057.66 1.21307
196000 308.264 -257.992 1.20176
197000 318.792 1187.16 1.21288
198000 325.593 -1013.37 1.1975
199000 313.496 189.844 1.21069
200000 310.461 329.639 1.20981
201000 311.883 1106.75 1.19828
202000 316.11 707.697 1.20959
203000 310.616 -759.485 1.20023
204000 320.409 2569.62 1.21276
205000 310.349 -52.804 1.19204
206000 311.666 -942.604 1.21303
207000 310.327 347.702 1.20116
208000 315.564 -2154.21 1.20504
209000 323.176 675.834 1.20945
210000 318.753 -496.103 1.20748
211000 306.804 -49.6598 1.20535
212000 310.18 536.299 1.20284
213000 307.833 -1213.59 1.20605
214000 311.948 1922.57 1.21833
215000 314.134 -558.562 1.20352
216000 313.194 -1028.38 1.21221
217000 313.77 327.903 1.21566
218000 320.278 976.638 1.20521
219000 316.576 2688.73 1.21541
220000 315.315 533.444 1.19704
221000 312.621 -1098.7 1.21168
222000 313.099 -1393.67 1.20738
223000 311.216 1168.05 1.2144
224000 315.26 698.134 1.20407
225000 311.672 -143.699 1.21048
226000 313.001 -631.996 1.20331
227000 309.946 -260.013 1.21144
228000 320.236 961.351 1.19977
229000 311.676 1378.92 1.20433
230000 319.201 -987.479 1.20929
231000 319.432 1505.92 1.20873
232000 323.24 2257.77 1.20422
233000 314.787 1313.39 1.20812
234000 312.126 -2.37704 1.20962
235000 313.749 -1018.91 1.20624
236000 315.307 1027.73 1.20489
237000 316.414 655.071 1.20527
238000 307.04 -159.734 1.20692
239000 314.534 -1483.27 1.20268
240000 313.355 468.548 1.2195
241000 310.535 512.217 1.19806
242000 315.979 53.8342 1.20391
243000 316.498 654.458 1.19993
244000 313.64 1078.89 1.2108
245000 312.906 -641.588 1.2138
246000 313.791 -989.262 1.19904
247000 313.048 -368.807 1.21636
248000 305.85 -355.864 1.20636
249000 309.444 -124.446 1.20543
250000 322.854 -484.202 1.19918
251000 321.617 1009.79 1.21229
252000 311.462 -352.995 1.19982
253000 314.554 683.599 1.21177
254000 307.305 -2251.65 1.2031
255000 314.85 586.654 1.21784
256000 313.84 1215.66 1.207
257000 316.088 507.773 1.21435
258000 308.36 291.416 1.19889
259000 316.466 -1714.49 1.21216
260000 312.566 23.1064 1.20995
261000 315.965 1131.55 1.20489
262000 313.446 888.931 1.21477
263000 319.581 271.7 1.2122
264000 311.193 1916.88 1.20452
265000 313.768 -459.682 1.19813
266000 318.56 881.581 1.21611
267000 315.507 266.281 1.20385
268000 316.417 487.135 1.20932
269000 306.851 -45.3178 1.20533
270000 309.852 963.353 1.21113
271000 315.02 -2888.97 1.20754
272000 318.73 -1253.41 1.20368
273000 310.936 630.219 1.21102
274000 313.516 -731.627 1.20722
275000 319.665 -813.196 1.2119
276000 312.975 -209.795 1.1985
277000 309.668 972.812 1.21365
278000 307.412 -2929.98 1.20531
279000 310.267 -369.781 1.20281
280000 309.924 -490.853 1.2088
281000 317.744 205.762 1.21035
282000 317.513 -157.427 1.20911
283000 308.244 1216.21 1.21758
284000 307.886 402.686 1.19721
285000 306.133 308.278 1.21433
286000 313.232 -1846.77 1.1948
287000 316.279 1147.38 1.21178
288000 317.543 86.0041 1.20568
289000 316.15 955.414 1.21538
290000 316.492 -32.0586 1.19827
291000 305.262 -2320.31 1.20771
292000 318.83 -1607.47 1.21364
293000 315.616 895.491 1.20012
294000 316.99 1358.03 1.21344
295000 310.384 -1754.51 1.2024
296000 311.744 -222.313 1.20843
297000 308.748 335.971 1.19602
298000 318.06 1309.58 1.20936
299000 315.68 1648.73 1.20851
300000 311.882 1120.75 1.1982
301000 307.388 -968.399 1.20474
302000 316.816 -555.593 1.19948
303000 312.26 -466.329 1.2144
304000 310.74 -634.485 1.20672
305000 307.394 265.479 1.20805
306000 314.97 343.169 1.20755
307000 312.154 560.155 1.20228
308000 313.26 -577.365 1.19183
309000 310.521 -864.095 1.21351
310000 313.995 -1302.84 1.20667
311000 311.327 -1216 1.204
312000 317.011 465.487 1.20847
313000 311.693 1176.93 1.20679
314000 312.087 -259.839 1.20277
315000 316.85 19.3772 1.21
316000 317.047 1571.27 1.19984
317000 318.758 2144.37 1.20934
318000 318.856 -927.141 1.21404
319000 314.498 -282.061 1.2102
320000 312.511 1962.42 1.20965
321000 307.507 -1194.16 1.20702
322000 313.641 1543.3 1.20886
323000 316.868 169.191 1.20998
324000 307.43 157.978 1.21289
325000 325.538 -509.262 1.2017
326000 319.63 -1533.14 1.21078
327000 311.596 1098.93 1.2119
328000 310.789 -19.8866 1.1995
329000 314.019 598.499 1.21255
330000 307.706 1101.97 1.20491
331000 308.077 1541.26 1.2059
332000 309.323 -652.749 1.19911
333000 317.654 -1141.85 1.20495
334000 303.578 -905.567 1.21459
335000 308.097 -1065.6 1.20859
336000 309.396 1555.21 1.20894
337000 310.74 894.838 1.20432
338000 317.311 611.304 1.20444
339000 314.093 261.599 1.19822
340000 311.997 -284.09 1.20447
341000 314.833 411.062 1.20508
342000 308.553 585.791 1.20189
343000 314.594 -242.067 1.20931
344000 312.193 1354.71 1.20725
345000 315.853 -558.475 1.20421
346000 314.593 -2326.56 1.20708
347000 315.744 1421.05 1.20782
348000 317.995 1138.44 1.21319
349000 317.302 17.0588 1.20965
350000 315.501 -1856.96 1.20545
351000 311.575 -1479.83 1.21286
352000 321.396 297.802 1.20867
353000 313.346 363.5 1.20467
354000 314.728 -692.414 1.20019
355000 320.483 19.545 1.20874
356000 314.347 202.365 1.20656
357000 316.573 -657.74 1.20866
358000 317.158 1497.95 1.20871
359000 313.538 792.272 1.19868
360000 313.241 1540.33 1.20885
361000 310.837 -1467.43 1.19662
362000 306.282 1118.38 1.19631
363000 307.781 -104.005 1.21158
364000 315.309 -487.96 1.20009
365000 310.474 530.696 1.20262
366000 310.929 -1237.49 1.19807
367000 313.943 2073.17 1.20864
368000 316.901 348.102 1.20693
369000 308.075 -257.016 1.20208
370000 314.603 -595.04 1.20534
371000 314.975 -422.715 1.19931
372000 316.187 460.898 1.20504
373000 314.447 747.103 1.20039
374000 308.761 -862.254 1.20687
375000 316.214 1898.72 1.20321
376000 319.005 2769.08 1.21744
377000 315.378 289.182 1.20635
378000 299.1 -1012.55 1.20686
379000 310.387 443.081 1.19394
380000 314.428 40.6981 1.20016
381000 310.672 -101.926 1.19517
382000 313.263 -1147.1 1.20225
383000 312.445 -1109.81 1.20659
384000 316.418 875.97 1.20553
385000 316.076 -722.909 1.20617
386000 315.713 -80.7252 1.20596
387000 319.031 2412.62 1.21214
388000 312.978 775.251 1.20249
389000 314.881 -2029.51 1.20386
390000 314.414 -1989.33 1.20309
391000 318.55 24.543 1.19614
392000 307.102 -173.399 1.21328
393000 314.152 1142.86 1.20238
394000 312.318 587.018 1.20898
395000 318.317 888.561 1.20827
396000 311.903 -880.369 1.19565
397000 317.542 475.778 1.20834
398000 321.129 797.299 1.20345
399000 317.809 -1099.2 1.20623
400000 313.791 -295.325 1.20607
401000 316.291 519.903 1.21475
402000 313.183 2792.14 1.20359
403000 318.514 1305.23 1.21378
404000 319.187 1117.3 1.20407
405000 310.673 -848.213 1.20113
406000 310.728 -1836.84 1.21413
407000 316.207 -13.491 1.20362
408000 311.209 -692.551 1.21087
409000 307.15 60.8593 1.20067
410000 307.484 1623.6 1.20648
411000 307.308 193.185 1.19916
412000 316.38 -1199.83 1.22127
413000 311.39 547.323 1.20504
414000 309.043 1410.48 1.20901
415000 312.671 251.72 1.20566
416000 312.596 -1024.25 1.20909
417000 310.302 -387.868 1.20243
418000 309.159 1330.78 1.20004
419000 310.409 -372.432 1.21081
420000 307.984 754.081 1.20918
421000 308.112 -208.899 1.20467
422000 312.122 343.761 1.19686
423000 315.097 37.8438 1.19477
424000 306.929 316.112 1.21354
425000 323.324 -493.989 1.20449
426000 310.43 498.059 1.20827
427000 313.115 -1495.37 1.20642
428000 314.926 128.722 1.20767
429000 309.444 -18.4087 1.19178
430000 311.2 -1003.72 1.21924
431000 312.895 -61.155 1.19113
432000 311.402 -1270.4 1.21188
433000 302.956 -340.783 1.20741
434000 307.974 -1535 1.2044
435000 304.201 -1710.69 1.21018
436000 311.298 -526.826 1.19876
437000 314.15 1301.68 1.21427
438000 311.918 -2053.08 1.19434
439000 311.624 -1106.18 1.20239
440000 310.175 1352.84 1.20609
441000 312.079 1420.03 1.20507
442000 317.44 -711.537 1.20186
