Pressure (bar),Pressure (atm),phi_CH4,phi_CO2,f_CH4 (bar),f_CO2 (bar)
61.0,60.2,0.99573,0.73426,6.07,40.31
61.5,60.7,0.99642,0.73221,6.13,40.53
62.0,61.19,0.99713,0.73016,6.18,40.74
62.5,61.68,0.99786,0.72811,6.24,40.96
63.0,62.18,0.99861,0.72606,6.29,41.17
63.5,62.67,0.99938,0.72401,6.35,41.38
64.0,63.16,1.00018,0.72197,6.4,41.59
64.5,63.66,1.001,0.71992,6.46,41.79
65.0,64.15,1.00185,0.71788,6.51,42.0
65.5,64.64,1.00272,0.71584,6.57,42.2
66.0,65.14,1.00362,0.71379,6.62,42.4
66.5,65.63,1.00454,0.71175,6.68,42.6
67.0,66.12,1.00549,0.70971,6.74,42.8
67.5,66.62,1.00647,0.70767,6.79,42.99
68.0,67.11,1.00747,0.70563,6.85,43.18
68.5,67.6,1.0085,0.7036,6.91,43.38
69.0,68.1,1.00957,0.70156,6.97,43.57
69.5,68.59,1.01066,0.69952,7.02,43.76
70.0,69.08,1.01178,0.69748,7.08,43.94
70.5,69.58,1.01293,0.69545,7.14,44.13
71.0,70.07,1.01411,0.69341,7.2,44.31
71.5,70.56,1.01533,0.69138,7.26,44.49
72.0,71.06,1.01658,0.68934,7.32,44.67
72.5,71.55,1.01786,0.68731,7.38,44.85
73.0,72.05,1.01918,0.68528,7.44,45.02
73.5,72.54,1.02054,0.68324,7.5,45.2
74.0,73.03,1.02193,0.68121,7.56,45.37
74.5,73.53,1.02335,0.67918,7.62,45.54
75.0,74.02,1.02482,0.67714,7.69,45.71
75.5,74.51,1.02632,0.67511,7.75,45.87
76.0,75.01,1.02787,0.67308,7.81,46.04
76.5,75.5,1.02945,0.67104,7.88,46.2
77.0,75.99,1.03108,0.66901,7.94,46.36
77.5,76.49,1.03275,0.66698,8.0,46.52
78.0,76.98,1.03446,0.66495,8.07,46.68
78.5,77.47,1.03622,0.66291,8.13,46.83
79.0,77.97,1.03803,0.66088,8.2,46.99
79.5,78.46,1.03988,0.65885,8.27,47.14
80.0,78.95,1.04178,0.65681,8.33,47.29
80.5,79.45,1.04373,0.65478,8.4,47.44
81.0,79.94,1.04572,0.65275,8.47,47.59
81.5,80.43,1.04777,0.65071,8.54,47.73
82.0,80.93,1.04987,0.64868,8.61,47.87
82.5,81.42,1.05203,0.64664,8.68,48.01
83.0,81.91,1.05424,0.64461,8.75,48.15
83.5,82.41,1.0565,0.64257,8.82,48.29
84.0,82.9,1.05882,0.64054,8.89,48.42
84.5,83.39,1.0612,0.6385,8.97,48.56
85.0,83.89,1.06363,0.63647,9.04,48.69
85.5,84.38,1.06613,0.63443,9.12,48.82
86.0,84.88,1.06868,0.63239,9.19,48.95
86.5,85.37,1.07129,0.63036,9.27,49.07
87.0,85.86,1.07397,0.62832,9.34,49.2
87.5,86.36,1.07671,0.62628,9.42,49.32
88.0,86.85,1.07951,0.62425,9.5,49.44
88.5,87.34,1.08237,0.62221,9.58,49.56
89.0,87.84,1.0853,0.62017,9.66,49.68
89.5,88.33,1.08829,0.61814,9.74,49.79
90.0,88.82,1.09134,0.6161,9.82,49.9
90.5,89.32,1.09446,0.61406,9.9,50.02
91.0,89.81,1.09764,0.61203,9.99,50.13
91.5,90.3,1.10088,0.60999,10.07,50.23
92.0,90.8,1.10418,0.60796,10.16,50.34
92.5,91.29,1.10754,0.60593,10.24,50.44
93.0,91.78,1.11096,0.6039,10.33,50.55
93.5,92.28,1.11444,0.60187,10.42,50.65
94.0,92.77,1.11798,0.59984,10.51,50.75
94.5,93.26,1.12156,0.59781,10.6,50.84
95.0,93.76,1.1252,0.59579,10.69,50.94
95.5,94.25,1.12889,0.59377,10.78,51.03
96.0,94.74,1.13262,0.59176,10.87,51.13
96.5,95.24,1.13639,0.58974,10.97,51.22
97.0,95.73,1.14019,0.58773,11.06,51.31
97.5,96.22,1.14404,0.58573,11.15,51.4
98.0,96.72,1.1479,0.58373,11.25,51.48
98.5,97.21,1.1518,0.58173,11.35,51.57
99.0,97.71,1.15571,0.57974,11.44,51.66
99.5,98.2,1.15963,0.57776,11.54,51.74
100.0,98.69,1.16357,0.57578,11.64,51.82
100.5,99.19,1.1675,0.57381,11.73,51.9
101.0,99.68,1.17144,0.57185,11.83,51.98
101.5,100.17,1.17536,0.5699,11.93,52.06
102.0,100.67,1.17927,0.56795,12.03,52.14
102.5,101.16,1.18316,0.56602,12.13,52.21
103.0,101.65,1.18703,0.56409,12.23,52.29
103.5,102.15,1.19086,0.56217,12.33,52.37
104.0,102.64,1.19466,0.56026,12.42,52.44
104.5,103.13,1.19842,0.55837,12.52,52.51
105.0,103.63,1.20214,0.55648,12.62,52.59
105.5,104.12,1.2058,0.5546,12.72,52.66
106.0,104.61,1.20941,0.55274,12.82,52.73
106.5,105.11,1.21297,0.55089,12.92,52.8
107.0,105.6,1.21646,0.54905,13.02,52.87
107.5,106.09,1.21989,0.54722,13.11,52.94
108.0,106.59,1.22325,0.5454,13.21,53.01
108.5,107.08,1.22654,0.5436,13.31,53.08
109.0,107.57,1.22977,0.54181,13.4,53.15
109.5,108.07,1.23292,0.54003,13.5,53.22
110.0,108.56,1.23599,0.53827,13.6,53.29
110.5,109.05,1.23899,0.53651,13.69,53.36
111.0,109.55,1.24192,0.53477,13.79,53.42
111.5,110.04,1.24476,0.53305,13.88,53.49
112.0,110.54,1.24753,0.53134,13.97,53.56
112.5,111.03,1.25023,0.52964,14.07,53.63
113.0,111.52,1.25284,0.52795,14.16,53.69
113.5,112.02,1.25538,0.52628,14.25,53.76
114.0,112.51,1.25785,0.52462,14.34,53.83
114.5,113.0,1.26024,0.52297,14.43,53.89
115.0,113.5,1.26255,0.52134,14.52,53.96
115.5,113.99,1.26479,0.51972,14.61,54.02
116.0,114.48,1.26696,0.51811,14.7,54.09
116.5,114.98,1.26905,0.51651,14.78,54.16
117.0,115.47,1.27108,0.51493,14.87,54.22
117.5,115.96,1.27303,0.51336,14.96,54.29
118.0,116.46,1.27492,0.5118,15.04,54.35
118.5,116.95,1.27674,0.51026,15.13,54.42
119.0,117.44,1.27849,0.50872,15.21,54.48
119.5,117.94,1.28018,0.5072,15.3,54.55
120.0,118.43,1.28181,0.5057,15.38,54.62
120.5,118.92,1.28338,0.5042,15.46,54.68
121.0,119.42,1.28489,0.50271,15.55,54.75
121.5,119.91,1.28633,0.50124,15.63,54.81
122.0,120.4,1.28773,0.49978,15.71,54.88
122.5,120.9,1.28906,0.49833,15.79,54.94
123.0,121.39,1.29035,0.49689,15.87,55.01
123.5,121.88,1.29157,0.49547,15.95,55.07
124.0,122.38,1.29275,0.49405,16.03,55.14
124.5,122.87,1.29388,0.49265,16.11,55.2
125.0,123.37,1.29496,0.49125,16.19,55.27
125.5,123.86,1.29599,0.48987,16.26,55.33
126.0,124.35,1.29698,0.4885,16.34,55.4
126.5,124.85,1.29792,0.48714,16.42,55.46
127.0,125.34,1.29881,0.48579,16.49,55.53
127.5,125.83,1.29967,0.48445,16.57,55.59
128.0,126.33,1.30048,0.48312,16.65,55.66
128.5,126.82,1.30126,0.4818,16.72,55.72
129.0,127.31,1.30199,0.48049,16.8,55.78
129.5,127.81,1.30269,0.47919,16.87,55.85
130.0,128.3,1.30335,0.4779,16.94,55.91
130.5,128.79,1.30397,0.47662,17.02,55.98
131.0,129.29,1.30456,0.47535,17.09,56.04
131.5,129.78,1.30511,0.47409,17.16,56.11
132.0,130.27,1.30564,0.47283,17.23,56.17
132.5,130.77,1.30613,0.47159,17.31,56.24
133.0,131.26,1.30659,0.47036,17.38,56.3
133.5,131.75,1.30702,0.46914,17.45,56.37
134.0,132.25,1.30742,0.46792,17.52,56.43
134.5,132.74,1.30779,0.46671,17.59,56.5
135.0,133.23,1.30813,0.46552,17.66,56.56
135.5,133.73,1.30845,0.46433,17.73,56.62
136.0,134.22,1.30874,0.46315,17.8,56.69
136.5,134.71,1.30901,0.46198,17.87,56.75
137.0,135.21,1.30925,0.46082,17.94,56.82
137.5,135.7,1.30947,0.45966,18.01,56.88
138.0,136.2,1.30966,0.45852,18.07,56.95
138.5,136.69,1.30984,0.45738,18.14,57.01
139.0,137.18,1.30999,0.45625,18.21,57.08
139.5,137.68,1.31012,0.45513,18.28,57.14
140.0,138.17,1.31022,0.45401,18.34,57.21
140.5,138.66,1.31031,0.45291,18.41,57.27
141.0,139.16,1.31038,0.45181,18.48,57.33
141.5,139.65,1.31044,0.45072,18.54,57.4
142.0,140.14,1.31047,0.44964,18.61,57.46
142.5,140.64,1.31048,0.44856,18.67,57.53
143.0,141.13,1.31048,0.4475,18.74,57.59
143.5,141.62,1.31046,0.44644,18.81,57.66
144.0,142.12,1.31043,0.44538,18.87,57.72
144.5,142.61,1.31038,0.44434,18.93,57.79
145.0,143.1,1.31031,0.4433,19.0,57.85
145.5,143.6,1.31023,0.44227,19.06,57.91
146.0,144.09,1.31014,0.44124,19.13,57.98
146.5,144.58,1.31003,0.44023,19.19,58.04
147.0,145.08,1.3099,0.43922,19.26,58.11
147.5,145.57,1.30977,0.43821,19.32,58.17
148.0,146.06,1.30962,0.43722,19.38,58.24
148.5,146.56,1.30946,0.43623,19.45,58.3
149.0,147.05,1.30929,0.43524,19.51,58.37
149.5,147.54,1.3091,0.43427,19.57,58.43
150.0,148.04,1.30891,0.4333,19.63,58.5
